slug	build_pdf	schematic_page
fk1t-vcf	FK1T_build_BOM.pdf	4
feague	FEAGUEbuildBOM-yxyz.pdf	4
lux	LUX-Build-and-BOM.pdf	4
4hp-envelope-follower	ENV-follower.pdf	3
low-pass-gate	WAMOD4-lpg.pdf	2
mogue	mogue_build_and_bom_vers1.pdf	3
lets-splosh	splosh_build_and_bom.pdf	2
genie	genie_build_and_bom.pdf	3
flipflop-chaos	FF-Chaos-build-notes.pdf	8
giant-b0n0	giant-B0N0-build-and-BOM.pdf	6
mixer	WAMOD-mixer.pdf	NO
hyperchaos-deluxe	HYPERCHAOS-DELUXE-build-and-BOM-ml4l.pdf	4
kareishuu-vco	kareishuu_vco_build_and_bom.pdf	3
ian-fritz-hypster	hypster_build_and_bom.pdf	8
i-cant-believe-its-not-a-vco	icbinavco_build_and_bom.pdf	4
its-555	its_555_eurorack_build_and_bom.pdf	3
numberwang	Numberwang-BOM-guide.pdf	3
segue	Segue-build-BOM.pdf	2
8hp-neuron	neuron_build_bom.pdf	1
sly-grogan	sly_grogan_build_bom.pdf	3
router	Router_BuildBOM.pdf	3
multiband-distortion-processor	MBD-BOM-and-build.pdf	3
signum-hyperchaos	signum_hyperchaos_build_and_bom.pdf	5
shat-noir	shat-noir_phaser_build_and_bom.pdf	4
plague-of-demons	plague_of_demons_build_bom.pdf	7
primal-hyperchaos	Primal-build-and-BOM.pdf	2
sauce-of-unce	Sauce-of-Unce-build-notes.pdf	7
serious-filter	serious-filter-build-BOM.pdf	2
mobius-pill	mobius_pill_build_and_bom.pdf	4
resonate	RESONATE-build-and-BOM.pdf	7
null-a	NULL-A-build-BOM.pdf	25
noir0-ze	noiro-ze_vcf_vca_build_and_bom.pdf	4
statues	statues_build_and_bom.pdf	2
vac-pill	wamod_pill.pdf	2
4hp-sloth-chaos	sloth_chaos2.pdf	3
squid-axon	Squid-Axon-build-and-BOM-83ep.pdf	3
trackydacks	Tracky-Dacks-Build-and-BOM-btcn.pdf	4
timbre	timbre_build_bom_v2.pdf	5
sloth-dk	sloth_dk_build_and_bom.pdf	5
spasm	spasm_build_and_bom.pdf	4
the-big-room	the_big_room_build_and_bom.pdf	6
small-psu	WAMOD3-psu.pdf	2
vcas	VCAs-build-and-BOM.pdf	3
triple-sloth	8HP-Sloth-build-and-BOM-new.pdf	5
triad	TRIAD-build-guide.pdf	2
timbre-and-timbre	dual_timbre_build_and_bom.pdf	5
wangernumb	wangernumb_buildBOM.pdf	3
vc-adsr	VC-ADSR-Build-and-BOM.pdf	4
parts	-	NOPDF
mults	-	NOPDF
deescalate	-	NOPDF
covfefe	-	NOPDF
