repo	module_scope	best_evidence	file_kinds	files_in_scope
diyelectromusic/sdemp_pcbs	PWMOutputFilter	gerber/zip	gerber/zip=9 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	Pico Micro Nano Matrix	gerber/zip	gerber/zip=10 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	PicoDualMIDICarrier	gerber/zip	gerber/zip=10 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	PicoMIDIPack	gerber/zip	gerber/zip=10 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	PicoMIDIPackSingle	gerber/zip	gerber/zip=10 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	PicoMIDIProto	gerber/zip	gerber/zip=10 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	PicoMIDIRouter	gerber/zip	gerber/zip=10 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	PicoMIDISplitter	gerber/zip	gerber/zip=10 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	PicoMIDISplitterTTL	gerber/zip	gerber/zip=10 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	PicoMIDITouchBoard	gerber/zip	gerber/zip=9 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	PicoMIDITouchKeyboard	gerber/zip	gerber/zip=9 schematic-pdf/img=1	19
diyelectromusic/sdemp_pcbs	PicoTX816-IOBoard	gerber/zip	gerber/zip=9 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	PicoTX816-Panel	gerber/zip	gerber/zip=9	12
diyelectromusic/sdemp_pcbs	PicoTX816-RPiInterface	gerber/zip	gerber/zip=5 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	PicoVGABreakout	gerber/zip	gerber/zip=9 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	RC2014/RC2014-PGA2350	gerber/zip	gerber/zip=9 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	RC2014/RC2014-PGA2350 - VGA	gerber/zip	gerber/zip=10 schematic-pdf/img=2	16
diyelectromusic/sdemp_pcbs	RC2014/RC2014BusSwap	gerber/zip	gerber/zip=9 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	RC2014/RC2014Z80NOPTester	gerber/zip	gerber/zip=9 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	RPi400MIDIAudio	gerber/zip	gerber/zip=5 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	RPiZeroMIDI	gerber/zip	gerber/zip=5 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	RPiZeroMiniDexedIOBoard	gerber/zip	gerber/zip=5 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	RpiDualMiniDexed	gerber/zip	gerber/zip=5 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	RpiMiniDexedHD44780	gerber/zip	gerber/zip=10 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	RpiMiniDexedSSD1306	gerber/zip	gerber/zip=10 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	RpiMiniDexedSSD1306v2	gerber/zip	gerber/zip=5 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	RpiQuadDACMiniDexed	gerber/zip	gerber/zip=5 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	RpiV1MiniDexedIOBoard	gerber/zip	gerber/zip=5 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	RpiV1SynthBoard	gerber/zip	gerber/zip=5 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	RpiZynthianIOBoard	gerber/zip	gerber/zip=10 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	RpiZynthianPanel	gerber/zip	gerber/zip=10 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	SquareWaveOscillator	gerber/zip	gerber/zip=9 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	TactileButtonKeyboard	gerber/zip	gerber/zip=9 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	TouchKeyboard	gerber/zip	gerber/zip=10 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	WaveshareDuppaController	gerber/zip	gerber/zip=9 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	WaveshareZeroKrellDisplay	gerber/zip	gerber/zip=9 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	WaveshareZeroMIDIProto	gerber/zip	gerber/zip=9 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	WaveshareZeroMultiDsplay	gerber/zip	gerber/zip=9 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	XiaoMIDIInterface	gerber/zip	gerber/zip=10 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	XiaoMIDISynthBoard	gerber/zip	gerber/zip=10 schematic-pdf/img=1	13
diyelectromusic/sdemp_pcbs	XiaoPiUSBMIDIDevice	gerber/zip	gerber/zip=10 schematic-pdf/img=1	13
mzuelch/CATs-Eurosynth	Modules/Mechanicals/Blinds/1TE	gerber/zip	gerber/zip=1	3
mzuelch/CATs-Eurosynth	Modules/Mechanicals/Blinds/3TE	gerber/zip	gerber/zip=1	3
ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/ARboard/CAMOutputs	gerber/zip	gerber/zip=11	12
ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/STM32test/CAMOutputs	gerber/zip	gerber/zip=4	5
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 5/FrontPanels	gerber/zip	gerber/zip=2	25
VincentPeters/Diy-Synth-Eurorack	UTILITY/TR82 - midi interface	gerber/zip	gerber/zip=1 schematic-pdf/img=1	5
VincentPeters/Diy-Synth-Eurorack	MULTIPLE/nickajeglin - Buf. Mult/gerb	gerber/zip	gerber/zip=22	22
tkilla64/eurorack	vc-lfo	gerber/zip	gerber/zip=2 schematic-pdf/img=1	6
tkilla64/eurorack	bmult	gerber/zip	gerber/zip=3 other-pdf=3 schematic-pdf/img=1	10
tkilla64/eurorack	misc/bb_helpers	gerber/zip	gerber/zip=2	2
tkilla64/eurorack	misc/psu_filter	gerber/zip	gerber/zip=1 schematic-pdf/img=1	3
4ms/DLD	.	schematic-pdf/img	schematic-pdf/img=1	100
bastl-instruments/citadel	.	schematic-pdf/img	schematic-pdf/img=1	8
beLow-Industries/mod-mosfet	.	schematic-pdf/img	schematic-pdf/img=1	2
Floating-Knobs/Cuisine_Hardware	.	schematic-pdf/img	schematic-pdf/img=1	2
jakplugg/Neutron_Sound_build_docs	.	schematic-pdf/img	schematic-pdf/img=1 other-pdf=1	14
MidiverseModular/MVM006_LFO	.	schematic-pdf/img	other-pdf=2 schematic-pdf/img=2	5
MidiverseModular/MVM025_DiodeFilter	.	schematic-pdf/img	other-pdf=2 schematic-pdf/img=1	4
mysticcircuits/ANA2	.	schematic-pdf/img	schematic-pdf/img=1 other-pdf=1	5
oamodular/time-machine	.	schematic-pdf/img	schematic-pdf/img=1 other-pdf=1	18
Allen-Synthesis/EuroPi	hardware/through-hole	schematic-pdf/img	schematic-pdf/img=1	9
bastl-instruments/kastle2	.	schematic-pdf/img	schematic-pdf/img=1	254
DIYSynthMNL/Eurorack-2164-Quad-Exponential-VCA	Schematic PDFs	schematic-pdf/img	schematic-pdf/img=5	5
DIYSynthMNL/Eurorack-Electric-Druid-VCDO1	Schematic PDFs	schematic-pdf/img	schematic-pdf/img=7	7
MidiverseModular/MVM_OOAK_Project	MVM016_VCO	schematic-pdf/img	other-pdf=2 schematic-pdf/img=1	3
MidiverseModular/MVM_OOAK_Project	MVM019_Quad Envelope	schematic-pdf/img	other-pdf=2 schematic-pdf/img=1	3
MidiverseModular/MVM_OOAK_Project	MVM020_Skew LFO	schematic-pdf/img	other-pdf=2 schematic-pdf/img=1	3
MidiverseModular/MVM_OOAK_Project	MVM021_Utility Mixer	schematic-pdf/img	other-pdf=2 schematic-pdf/img=1	3
MidiverseModular/MVM_OOAK_Project	MVM024_VCF	schematic-pdf/img	other-pdf=2 schematic-pdf/img=1	3
TomWhitwell/TuringMachine	Collateral/PDF Schematics	schematic-pdf/img	schematic-pdf/img=1	1
hires/Dintree	D41-Violin_Pre	schematic-pdf/img	schematic-pdf/img=1	2
nanassound/eurorack-nanassound	Rohkem	schematic-pdf/img	schematic-pdf/img=1	3
bummbummgarage/bummbummgarage.github.io	modules/and toggle	schematic-pdf/img	schematic-pdf/img=1	3
bummbummgarage/bummbummgarage.github.io	modules/chord-organ-0.1	schematic-pdf/img	schematic-pdf/img=2 other-pdf=1	25
bummbummgarage/bummbummgarage.github.io	modules/clock-ii-0.1	schematic-pdf/img	schematic-pdf/img=1 other-pdf=1	9
bummbummgarage/bummbummgarage.github.io	modules/clock-multiplier/Rev1	schematic-pdf/img	schematic-pdf/img=1	6
bummbummgarage/bummbummgarage.github.io	modules/clock-multiplier/Rev2/ATMega Standalone	schematic-pdf/img	schematic-pdf/img=1	3
bummbummgarage/bummbummgarage.github.io	modules/distortion	schematic-pdf/img	schematic-pdf/img=1 other-pdf=1	3
bummbummgarage/bummbummgarage.github.io	modules/envelope-follower/Rev1	schematic-pdf/img	schematic-pdf/img=1	1
bummbummgarage/bummbummgarage.github.io	modules/envelope-follower/Rev2	schematic-pdf/img	schematic-pdf/img=1	1
bummbummgarage/bummbummgarage.github.io	modules/envelope-generator-0.1	schematic-pdf/img	other-pdf=2 schematic-pdf/img=2	19
bummbummgarage/bummbummgarage.github.io	modules/envelope-generator-II-0.1	schematic-pdf/img	other-pdf=2 schematic-pdf/img=1	17
bummbummgarage/bummbummgarage.github.io	modules/envelope-generator-ii-0.1	schematic-pdf/img	other-pdf=2 schematic-pdf/img=1	17
bummbummgarage/bummbummgarage.github.io	modules/envelope-generator-iii-0.1.1	schematic-pdf/img	other-pdf=4 schematic-pdf/img=1	26
bummbummgarage/bummbummgarage.github.io	modules/exponential-converter-0.1	schematic-pdf/img	schematic-pdf/img=2 other-pdf=2	16
bummbummgarage/bummbummgarage.github.io	modules/filter-0.2	schematic-pdf/img	other-pdf=3 schematic-pdf/img=1	10
bummbummgarage/bummbummgarage.github.io	modules/gate-to-trigger-converter-0.1	schematic-pdf/img	schematic-pdf/img=2 other-pdf=2	13
bummbummgarage/bummbummgarage.github.io	modules/hihat/Rev1	schematic-pdf/img	schematic-pdf/img=1	3
bummbummgarage/bummbummgarage.github.io	modules/mixer-0.1	schematic-pdf/img	other-pdf=2 schematic-pdf/img=1	11
bummbummgarage/bummbummgarage.github.io	modules/mixer-ii/Rev1	schematic-pdf/img	other-pdf=1 schematic-pdf/img=1	4
bummbummgarage/bummbummgarage.github.io	modules/mixer-ii/Rev2	schematic-pdf/img	schematic-pdf/img=1	2
bummbummgarage/bummbummgarage.github.io	modules/mixer-ii/Rev3	schematic-pdf/img	schematic-pdf/img=1	2
bummbummgarage/bummbummgarage.github.io	modules/noise-generator-0.2	schematic-pdf/img	other-pdf=2 schematic-pdf/img=1	13
bummbummgarage/bummbummgarage.github.io	modules/noise-generator-0.3	schematic-pdf/img	schematic-pdf/img=1 other-pdf=1	4
bummbummgarage/bummbummgarage.github.io	modules/sequencer-0.1	schematic-pdf/img	other-pdf=2 schematic-pdf/img=1	23
bummbummgarage/bummbummgarage.github.io	modules/trigger-to-midi-clock	schematic-pdf/img	schematic-pdf/img=1 other-pdf=1	7
bummbummgarage/bummbummgarage.github.io	modules/vca-0.1	schematic-pdf/img	other-pdf=2 schematic-pdf/img=2	14
bummbummgarage/bummbummgarage.github.io	modules/vca-0.2	schematic-pdf/img	other-pdf=2 schematic-pdf/img=1	12
bummbummgarage/bummbummgarage.github.io	modules/vcf/Rev2	schematic-pdf/img	schematic-pdf/img=3	3
bummbummgarage/bummbummgarage.github.io	modules/vco-0.4	schematic-pdf/img	other-pdf=2 schematic-pdf/img=1	14
bummbummgarage/bummbummgarage.github.io	modules/vco-iii-0.1.1	schematic-pdf/img	other-pdf=2 schematic-pdf/img=1	9
bummbummgarage/bummbummgarage.github.io	modules/voltage-controlled-envelope-generator-vceg/REV-1	schematic-pdf/img	schematic-pdf/img=1	1
PierreIsCoding/sdiy	Arpeggiator/pdfs	schematic-pdf/img	other-pdf=1 schematic-pdf/img=1	2
PierreIsCoding/sdiy	Attiny_Programmer/pdfs	schematic-pdf/img	other-pdf=4 schematic-pdf/img=1	5
PierreIsCoding/sdiy	CEM3340_VCO/pdfs	schematic-pdf/img	other-pdf=4 schematic-pdf/img=1	5
PierreIsCoding/sdiy	Digital_Sample_And_Hold/PDFS	schematic-pdf/img	other-pdf=7 schematic-pdf/img=1	8
PierreIsCoding/sdiy	Dual_LFO/pdfs	schematic-pdf/img	other-pdf=7 schematic-pdf/img=1	8
PierreIsCoding/sdiy	MS_20_VCF_Clone	schematic-pdf/img	schematic-pdf/img=1 other-pdf=1	3
PierreIsCoding/sdiy	MasterClock/pdfs	schematic-pdf/img	other-pdf=1 schematic-pdf/img=1	2
PierreIsCoding/sdiy	Measure_Man/pdfs	schematic-pdf/img	schematic-pdf/img=1	1
PierreIsCoding/sdiy	Quantizer/pdfs	schematic-pdf/img	other-pdf=6 schematic-pdf/img=1	7
PierreIsCoding/sdiy	Sample_And_Hold/pdf	schematic-pdf/img	schematic-pdf/img=1	1
PierreIsCoding/sdiy	Sequential_Switch/pdfs	schematic-pdf/img	other-pdf=4 schematic-pdf/img=1	5
PierreIsCoding/sdiy	Sub_Octave/pdfs	schematic-pdf/img	other-pdf=1 schematic-pdf/img=1	2
PierreIsCoding/sdiy	Trigger_Sequencer/pdfs	schematic-pdf/img	other-pdf=2 schematic-pdf/img=1	3
PierreIsCoding/sdiy	Wavefolder/PDFs	schematic-pdf/img	other-pdf=6 schematic-pdf/img=1	8
PierreIsCoding/sdiy	Xorbell	schematic-pdf/img	schematic-pdf/img=1	3
supersynthesis/eurorack	Production Modules/2OPFM/_archive	schematic-pdf/img	schematic-pdf/img=1	1
VincentPeters/Diy-Synth-Eurorack	DRUM/TR82/Bassdrum 1	schematic-pdf/img	schematic-pdf/img=1	4
VincentPeters/Diy-Synth-Eurorack	DRUM/TR82/Bassdrum 2	schematic-pdf/img	schematic-pdf/img=1	4
VincentPeters/Diy-Synth-Eurorack	DRUM/TR82/Cymbals	schematic-pdf/img	schematic-pdf/img=2	5
VincentPeters/Diy-Synth-Eurorack	DRUM/TR82/HiHats	schematic-pdf/img	schematic-pdf/img=2	5
VincentPeters/Diy-Synth-Eurorack	DRUM/TR82/Low and High Toms	schematic-pdf/img	schematic-pdf/img=2	5
VincentPeters/Diy-Synth-Eurorack	DRUM/TR82/Snare Drums	schematic-pdf/img	schematic-pdf/img=2	5
VincentPeters/Diy-Synth-Eurorack	VCA/LMNC - 1183 - 1184 Quad VCA Mixer	schematic-pdf/img	schematic-pdf/img=2 other-pdf=1	19
VincentPeters/Diy-Synth-Eurorack	VCO/Reverse avalanche	schematic-pdf/img	schematic-pdf/img=1	2
VincentPeters/Diy-Synth-Eurorack	MIXER/TR82 - Mixer	schematic-pdf/img	schematic-pdf/img=1	4
VincentPeters/Diy-Synth-Eurorack	MIXER/Unbuffered mixer	schematic-pdf/img	schematic-pdf/img=2	9
mysticcircuits/TREE	.	other-pdf	other-pdf=2	5
SonicPotions/Penrose	.	other-pdf	other-pdf=1	39
DIYSynthMNL/Eurorack-PT2399-Delay	.	empty-kicad-board	other-pdf=2 kicad-sch=1	13
Allen-Synthesis/EuroPi	.	empty-kicad-board	other-pdf=1 kicad-sch=1 schematic-pdf/img=1	349
bartinstruments/open-source	DUAL SSI2130 VCO CORE	empty-kicad-board	gerber/zip=1 kicad-sch=1 other-pdf=1	9
bartinstruments/open-source	MATRIX MIXER	empty-kicad-board	gerber/zip=1 kicad-sch=1 other-pdf=1	9
bastl-instruments/kastle2	case/top-panel	empty-kicad-board		1
dchwebb/Spectralist	Hardware/Spectralist_Components	empty-kicad-board	kicad-sch=1	9
DIYSynthMNL/Eurorack-2164-Quad-Exponential-VCA	.	empty-kicad-board	schematic-pdf/img=5 other-pdf=2 kicad-sch=1	24
gridbugs/briefcase-synth	attenuverter	empty-kicad-board	kicad-sch=2 other-pdf=1	6
gridbugs/briefcase-synth	clock	empty-kicad-board	other-pdf=1 kicad-sch=1	20
gridbugs/briefcase-synth	dual-mixer	empty-kicad-board	kicad-sch=1 other-pdf=1	5
gridbugs/briefcase-synth	envelope-generator	empty-kicad-board	kicad-sch=1 other-pdf=1	5
gridbugs/briefcase-synth	low-frequency-mixer	empty-kicad-board	kicad-sch=1 other-pdf=1	5
gridbugs/briefcase-synth	low-pass-filter/simple-self-oscillator	empty-kicad-board	kicad-sch=1	4
gridbugs/briefcase-synth	mixer	empty-kicad-board	kicad-sch=1 other-pdf=1	5
gridbugs/briefcase-synth	oscillator	empty-kicad-board	kicad-sch=2 other-pdf=1 schematic-pdf/img=1	15
gridbugs/briefcase-synth	oscillator/simplest-3340-circuit	empty-kicad-board	kicad-sch=1 schematic-pdf/img=1	7
gridbugs/briefcase-synth	power-supply	empty-kicad-board	kicad-sch=1 other-pdf=1	7
gridbugs/briefcase-synth	quantizer	empty-kicad-board	kicad-sch=1 other-pdf=1	9
gridbugs/briefcase-synth	reverb	empty-kicad-board	kicad-sch=1 other-pdf=1	5
gridbugs/briefcase-synth	sample-and-hold	empty-kicad-board	kicad-sch=1 other-pdf=1	5
niektb/sluisbrinkie-eurorack-published	Sluisbrinkie Schmidt	empty-kicad-board		3
poetaster/sluisbrinkie-eurorack-published	Sluisbrinkie Schmidt	empty-kicad-board		3
microresearch/allcolours	comparator	empty-kicad-board	kicad-sch=3	6
microresearch/allcolours	pyro/pyro000_kicad	empty-kicad-board	kicad-sch=2	6
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 2021/MultiChannelUSB/Octonoisy	empty-kicad-board	kicad-sch=1	7
VoltageFoundryMod/ForgeSeries	.	nothing hardware		379
benjiaomodular/MiniSNH	MiniSNH v1.0/Inkscape Panel	nothing hardware		22
benjiaomodular/MiniSNH	MiniSNH v1.1/Inkscape Panel	nothing hardware		11
dchwebb/Kishoof	Hardware/Kishoof_Panel	nothing hardware		2
dchwebb/Spectralist	Hardware/Spectralist_LEDs	nothing hardware		2
jsenzel1/supra	hardware/panel final for public/supra	nothing hardware		1
wntrblm/Neptune	hardware/faceplate	nothing hardware		3
wntrblm/Speak_to_Me	hardware/faceplate	nothing hardware		4
PaulStoffregen/O_C_T41	hardware/14HP_panel_and_expanders/14HP_PANEL	nothing hardware		3
tpcarlson/synth-diy	pirate-radio	nothing hardware		4
