repo	bucket	reason	eda_kinds	module_dirs	description
coredon17/Octofex	IN	design files present	kicad	1	FV-1 Eurorack Module
suessspeise/sdiy	DEFERRED	user: set aside for a later pass - strip/protoboard layouts of other people's designs; each needs original-designer lineage and a dedupe against existing rows (the curated Skull & Circuits VCF-1 row already cites this repo)		0	schematics and protoboard layouts for synthesizer modules
caseyjholmes/HMPLPGVCA	IN	design files present	eagle	1	Holmes Modular 2HP version of the old passive vactrol LPG/VCA circuit
MMImodular/Modules	IN	design files present	eagle	10	Repository for all my module designs
bartinstruments/open-source	IN	design files present	kicad	2	All b:art instruments schematics, PCB designs and code made available for everyone to download.
fitzgreyve/CVtoMIDI	OUT	firmware/software only, no design files		0	Arduino sketches for the Fitzgreyve CV-to-MIDI eurorack module
508-loop-detected/nverb	IN	design files present		1	Nemesis Audio based reverb/delay module
dchwebb/Punck	IN	design files present	kicad	3	Eurorack Drum Machine based on STM32H7 featuring kick, snare, hi hats, two sample playback engines, toms and claps.
dchwebb/Retrospector	IN	design files present	kicad	2	Eurorack Delay Effect
Wesemane-Industries/eurocase	OUT	case/panel/rail generator - out of scope per conventions		0	DIY Eurorack / Modular synthesizer case
martinheterjag/v8_engine	IN	design files present	eagle	1	Eurorack PCB design of the CGS08 V8 Simulator by Ken Stone.
emeb/g081_audio	IN	design files present	kicad	3	A Eurorack reverb module based on the STM32G081
emeb/Cheep4	IN	design files present	kicad	2	Yet another Eurorack digital oscillator
emeb/S3GTA	IN	design files present	kicad	2	A Eurorack effects module based on the ESP32S3
poetaster/noodle	IN	design files present	fritzing	3	Noodle is a wandering sequencer for eurorack
poetaster/sluisbrinkie-eurorack-published	IN	design files present	kicad,eagle	17	Published Modules of the Sluisbrinkie project
poetaster/HAGIWO_arduino_oscillator	IN	design files present	kicad,easyeda	2	4HP through hole version of the HAGIWO FM/additive/chord oscillator with mode switch and gain input.
niektb/sluisbrinkie-eurorack-published	IN	design files present	kicad,eagle	18	Published Modules of the Sluisbrinkie project
josbouten/Fold-O-Matic	IN	design files present	kicad	1	Euro rack module for Wave Folding
josbouten/Stomp-Box-Adapt-O-Matic	IN	design files present		1	NONE
josbouten/Ratchet-O-Matic	IN	design files present		1	A ratcheteer (gate multiplier / divider) for Eurorack
odeliy/schema-cave	REVIEW	hardware present only as archives or documents - needs a look		0	Various old schematics of retired and unreleased modules.
kstammits/Shady	IN	design files present	kicad	1	eurorack open source kicad from Mutable SHADES
shorepine/tulipcc	IN	design files present	kicad,eagle	1	The Tulip Creative Computer and AMYboard - portable Python synthesizers
ramphands/Exits	IN	design files present	kicad	1	4hp DIY eurorack line and headphone output module based on the Nearness and AJH headphone amp modules
crowselectromusic/HEAR	IN	design files present	kicad	1	8hp DIY eurorack line and headphone output mixer based on Exits
Synthrotek/ADSR	IN	design files present		1	NONE
BurningForceKin/ModularSynthStuff	IN	design files present		6	Mostly Eurorack modules. Mostly designed by me.
monome/ansible-hardware	IN	design files present	eagle	1	NONE
caseyjholmes/MMPV3	IN	design files present	eagle	1	Updated Version 3 of my 5 channel Mute Mix Pan Eurorack format mixer now with improved workflow vertical layout, Stereo out, 6HP size reduction and PSI power for 2023
moPsy-project/div	IN	design files present	kicad	1	Counter/Divider Eurorack Module
DatanoiseTV/USB-C-Eurorack-PSU	IN	design files present	easyeda	1	STUSB4500 + TPS5430 based USB-C Eurorack PSU
DatanoiseTV/PicoADK-Eurorack-Module	OUT	README only, no files - hardware may live elsewhere, REVIEW		0	A Eurorack Module with 8x CV ins, 6 potentiometers, OLED screen, and 32-bit Audio Ouput ...
FuturePresentLabs/mia-eurorack	IN	design files present	kicad,eagle	27	MIA - Mutable Instruments Eurorack modules
retoid/Module-Panel-Templates	REVIEW	panel templates only - panels are out of scope, but verify	kicad	62	Modular Synthesizer Panel Templates
DIYSynthMNL/Eurorack-2164-Quad-Exponential-VCA	IN	design files present	kicad	2	This is a Quad Exponential VCA based on the AS2164 Chip
DIYSynthMNL/Eurorack-PT2399-Delay	IN	design files present	kicad	1	A voltage controllable delay/echo module
DIYSynthMNL/Eurorack-Electric-Druid-VCDO1	IN	design files present	kicad	2	A Eurorack wavetable oscillator module based on the VCDO1 chip from Electric Druid
cob333/Pico-Eurorack	REVIEW	hardware present only as archives or documents - needs a look		0	Firmware repository for Pico / PicoFX Eurorack modules, with an easy-to-use client.
sonocircuit/EXIST-RIP	IN	design files present	eagle	1	NONE
poetaster/portcullis	IN	design files present	fritzing	3	Portcullis is a fritzing project for a modular 2 channel Vactrol VCA with A/R
poetaster/candelabra	IN	design files present	fritzing	3	Candelabra is a fritzing project and PCB gerbers for a Eurorack chaos CV generator using rotating color LEDs.
oamodular/uncertainty	IN	design files present	kicad	3	NONE
kstammits/crimps	IN	design files present	kicad	2	Mutated Kinks = Karltron Crimps
thismatters/EurorackClockDiv2	IN	design files present	kicad	1	Eurorack clock divider based on the Yusynth design
m0xpd/STRACHEY	IN	design files present	kicad	1	A Random Looping Sequencer for Eurorack
m0xpd/FLIP	IN	design files present	kicad,diylc	2	A Bernoulli Gate for Electronic Music Applications, realised in Hardware
m0xpd/encore	IN	design files present	kicad,eagle	1	An Echo/Delay Module for Eurorack, based on the PT2399
thismatters/EurorackGateDelay	IN	design files present	kicad	1	Gate Delay Circuit based on the Yusynth design
dslamnig/GHOQ	IN	design files present		7	PLLHO - PLL Harmonic Oscillator, a Eurorack synth module
StudioKAT/R2R-DAC	IN	design files present	kicad	4	NONE
StudioKAT/PassiveLPG1U	IN	design files present	kicad	2	NONE
SdkcInstruments/Bootleg1.1	OUT	README + product image only, no design files		0	Bootleg #1.1 Dual Slope Generator+
jeanpri/303	IN	design files present	kicad	4	303 eurorack interface for x0x-heart
cob333/PicoPro-Eurorack	REVIEW	hardware present only as archives or documents - needs a look		0	Firmware repository for PicoPro Eurorack modules.
cob333/Eurorack_PD_USB	IN	design files present		1	USB-C PD powered Eurorack supply module with estimated +12 V, -12 V, and +5 V rails.
PierreIsCoding/sdiy	IN	design files present		23	Synth DIY projects
diyelectromusic/sdemp_pcbs	IN	design files present; exclude the PicoVGABreakout board (video) when expanding - user rule: video synth OUT		70	PCB designs for SDEMProjects
VikingCube/VC-PCB-Midi	IN	design files present	kicad	1	VC-Midi-PCB
jortigoso/output_1	IN	design files present		1	Simple Eurorack compatible output module with headphone driver.
VoltageFoundryMod/IRONMix	IN	design files present	kicad	3	Eurorack Line-level mixer and Headphone Output module in 4HP
fablabnk/EuroTubeScreamer	IN	design files present	kicad	1	NONE
samjkent/modular-mixer	REVIEW	hardware present only as archives or documents - needs a look		0	NONE
Testbild-synth/headphone	IN	design files present	kicad,easyeda	2	"passive 3HP eurorack headphone output module made as a commission from ""Krach der Roboter"""
Mental-Noise/Thal	REVIEW	hardware present only as archives or documents - needs a look		0	Thal - Mixer and Output Eurorack Module
pingdynasty/Mix	IN	design files present		1	Rebel Technology Mix modules
naokiiwakami/analog2.0	IN	design files present	eagle	4	NONE
fablabnk/HeadPho	IN	design files present	kicad	1	A 4HP Eurorack headphone amp based on the popular Exits module
ghostintranslation/drone	OUT	firmware + user manual only, no design files		0	Eurorack multi-algorithm drone module
glitched0xff/Midi2euroPiW	OUT	firmware/software only, no design files		0	Send MIDI to Cvs from wifi
AudioMorphology/Europi	IN	design files present	kicad	1	Opensource sequencer software for Raspberry Pi equipped with Eurorack-compatible hardware
AudioMorphology/waft	IN	design files present	kicad	1	Eurorack Gesture Controller
mesotokyo/cheap-power-board	IN	design files present	kicad	1	Cheap Power Board for Eurorack Modular
