id	file	result	measured
p1104	Sluisbrinkie Kepler/Photo's/20240104_133151.jpg	keep	n95=117 white=0.00 soft=0.271 strong=0.121
p1104	Sluisbrinkie Kepler/Photo's/20240104_133254.jpg	keep	n95=103 white=0.01 soft=0.296 strong=0.090
p1104	Sluisbrinkie Kepler/Photo's/20240104_133423.jpg	keep	n95=94 white=0.00 soft=0.302 strong=0.070
p1104	Sluisbrinkie Kepler/Photo's/20240104_133646.jpg	keep	n95=194 white=0.05 soft=0.174 strong=0.057
p1104	Sluisbrinkie Kepler/Photo's/20240104_133847.jpg	keep	n95=175 white=0.00 soft=0.274 strong=0.058
p115	src/tiefpass/tiefpass.png	drop	flat graphic n95=11 white=0.00 soft=0.055 strong=0.177
p116	axon.jpg	keep	n95=108 white=0.00 soft=0.233 strong=0.079
p117	synapse.jpg	keep	n95=120 white=0.00 soft=0.200 strong=0.080
p13	ansible.jpg	keep	n95=12 white=0.47 soft=0.017 strong=0.025
p171	16nx.png	keep	n95=83 white=0.00 soft=0.071 strong=0.081
p174	bounce-alone.jpg	keep	n95=81 white=0.00 soft=0.069 strong=0.117
p174	bounce-plus-triggers.JPG	keep	n95=72 white=0.00 soft=0.076 strong=0.183
p174	bounce-sequencer.JPG	keep	n95=81 white=0.00 soft=0.069 strong=0.117
p174	buttons-complete.jpg	keep	n95=97 white=0.03 soft=0.053 strong=0.139
p174	buttons-frontboard.jpg	keep	n95=52 white=0.01 soft=0.061 strong=0.133
p174	buttons-panel.jpg	keep	n95=73 white=0.06 soft=0.063 strong=0.128
p174	mainboard.jpg	keep	n95=53 white=0.04 soft=0.037 strong=0.123
p174	toggles-complete.jpg	keep	n95=100 white=0.02 soft=0.055 strong=0.129
p174	toggles-frontboard.jpg	keep	n95=55 white=0.02 soft=0.047 strong=0.125
p174	toggles-panel.jpg	keep	n95=69 white=0.05 soft=0.047 strong=0.132
p174	toggles.jpg	keep	n95=87 white=0.00 soft=0.111 strong=0.207
p175	burst-v1.0.jpg	keep	n95=118 white=0.00 soft=0.086 strong=0.112
p176	minibounce.jpg	keep	n95=112 white=0.00 soft=0.083 strong=0.102
p177	nverb.jpg	keep	n95=196 white=0.00 soft=0.125 strong=0.110
p178	quant.jpeg	keep	n95=109 white=0.00 soft=0.097 strong=0.130
p180	kicad/europi_main_v2/europi main v2 board front.png	drop	flat graphic n95=59 white=0.00 soft=0.062 strong=0.175
p180	kicad/europi_main_v2/europi main v2 board rear.png	drop	flat graphic n95=50 white=0.00 soft=0.043 strong=0.188
p185	photos/front.jpg	keep	n95=53 white=0.00 soft=0.057 strong=0.029
p185	photos/prototype-board.jpg	keep	n95=107 white=0.00 soft=0.050 strong=0.029
p186	PSU_2D_new.jpg	keep	n95=69 white=0.04 soft=0.058 strong=0.136
p187	VCA Picture.jpg	keep	n95=131 white=0.00 soft=0.091 strong=0.041
p188	BIPO.png	keep	n95=135 white=0.03 soft=0.105 strong=0.138
p188	Theory.png	drop	flat graphic n95=33 white=0.87 soft=0.021 strong=0.109
p189	DICE-Front.png	drop	flat graphic n95=27 white=0.07 soft=0.069 strong=0.173
p190	SCULPT.jpeg	keep	n95=103 white=0.01 soft=0.147 strong=0.134
p191	SVF12-Front.png	keep	n95=102 white=0.00 soft=0.135 strong=0.146
p191	SVF12Front.png	drop	flat graphic n95=27 white=0.07 soft=0.054 strong=0.158
p192	UNO-Front.png	drop	flat graphic n95=25 white=0.06 soft=0.051 strong=0.140
p193	VCAR-Render.png	drop	flat graphic n95=25 white=0.06 soft=0.051 strong=0.143
p197	20191105_181811.jpg	keep	n95=112 white=0.03 soft=0.177 strong=0.140
p197	SweetSixteen_.jpg	keep	n95=175 white=0.01 soft=0.203 strong=0.137
p197	mcp6004.png	drop	flat graphic n95=7 white=0.89 soft=0.036 strong=0.127
p197	sweet_pcb.jpg	keep	n95=263 white=0.01 soft=0.167 strong=0.210
p203	BeaksFP.jpg	keep	n95=38 white=0.00 soft=0.106 strong=0.143
p212	images/005_front.jpg	keep	n95=61 white=0.01 soft=0.110 strong=0.040
p212	images/005_side.jpg	keep	n95=98 white=0.00 soft=0.087 strong=0.029
p212	images/v_sel.jpeg	keep	n95=426 white=0.02 soft=0.109 strong=0.055
p217	images/sigma2_panel.JPG	keep	n95=41 white=0.01 soft=0.211 strong=0.102
p217	images/sigma_main.JPG	keep	n95=98 white=0.00 soft=0.102 strong=0.205
p222	Board.png	keep	n95=164 white=0.00 soft=0.047 strong=0.224
p222	Images/Build1.jpeg	keep	n95=272 white=0.04 soft=0.162 strong=0.129
p222	Images/Build2.jpeg	keep	n95=210 white=0.03 soft=0.195 strong=0.159
p222	Images/Build3.JPG	keep	n95=317 white=0.06 soft=0.164 strong=0.137
p222	Images/VCO1.jpg	keep	n95=110 white=0.04 soft=0.241 strong=0.120
p222	Images/VCO2.jpg	keep	n95=358 white=0.02 soft=0.197 strong=0.121
p222	Images/VCO3.jpg	keep	n95=241 white=0.09 soft=0.203 strong=0.124
p222	Images/VCO4.jpg	keep	n95=347 white=0.02 soft=0.218 strong=0.149
p223	images/Back-side.jpg	keep	n95=117 white=0.00 soft=0.178 strong=0.123
p223	images/Insulate.jpg	keep	n95=143 white=0.00 soft=0.142 strong=0.139
p224	Board_Images/vco1-board-components.jpg	keep	n95=116 white=0.00 soft=0.051 strong=0.189
p224	Board_Images/vco1-board-components.png	keep	n95=110 white=0.00 soft=0.058 strong=0.185
