repo	module_scope	board_files	name_groups	guess	pooled_verdict	counted_files	superseded
niektb/sluisbrinkie-eurorack-published	Mutable Meta Module/Hardware	2	1	board+panel	SMD	MMM_main.kicad_pcb, mmm_frontpanel.kicad_pcb	
niektb/sluisbrinkie-eurorack-published	Sluisbrinkie Braun/Hardware/PI_SCOPE	2	1	board+panel	SMD	PI_SCOPE.kicad_pcb, pi_scope_frontpanel.kicad_pcb	
niektb/sluisbrinkie-eurorack-published	Sluisbrinkie Herford	2	1	board+panel	both	herford.kicad_pcb, herford_frontpanel.kicad_pcb	
niektb/sluisbrinkie-eurorack-published	Sluisbrinkie Müller	2	1	board+panel	SMD	muller.kicad_pcb, muller_frontplate.kicad_pcb	
odeliy/noise-reap	modules/3xVCA	2	1	board+panel	SMD	vca_panel.kicad_pcb, 3xVCA.kicad_pcb	
odeliy/noise-reap	modules/anomaly	2	1	board+panel	SMD	reaper_panel.kicad_pcb, VCF.kicad_pcb	
odeliy/noise-reap	modules/foundation	2	1	board+panel	SMD	foundationPanel.kicad_pcb, Foundation.kicad_pcb	
odeliy/noise-reap	modules/paradox	2	1	board+panel	SMD	paradox_panel.kicad_pcb, paradox.kicad_pcb	
poetaster/sluisbrinkie-eurorack-published	Mutable Meta Module/Hardware	2	1	board+panel	SMD	MMM_main.kicad_pcb, mmm_frontpanel.kicad_pcb	
poetaster/sluisbrinkie-eurorack-published	Sluisbrinkie Braun/Hardware/PI_SCOPE	2	1	board+panel	SMD	PI_SCOPE.kicad_pcb, pi_scope_frontpanel.kicad_pcb	
poetaster/sluisbrinkie-eurorack-published	Sluisbrinkie Herford	2	1	board+panel	both	herford.kicad_pcb, herford_frontpanel.kicad_pcb	
robgmsn/gmsn	pureModular/pureQuantiser	2	1	board+panel	both	Pure Quantiser Panel.brd, Pure Quantiser.brd	
seismicindustries/spink0	hardware/spink0_adaption/060_spink0_MB/merge	2	1	board+panel	SMD	pink0_FrontPanel.kicad_pcb, pink0_mergeMK1.kicad_pcb	
shannon-greenlight/bonkulator	.	2	1	board+panel	SMD	main_board.kicad_pcb, panel.kicad_pcb	
spielhuus/elektrophon	content/old/Synthacon VCF	2	1	board+panel	THT	main.kicad_pcb, panel.kicad_pcb	
spielhuus/elektrophon	content/old/Utility LFO	2	1	board+panel	THT	main.kicad_pcb, panel.kicad_pcb	
spielhuus/elektrophon	content/old/noise	2	1	board+panel	THT	main.kicad_pcb, panel.kicad_pcb	
spielhuus/elektrophon	content/old/vca1	2	1	board+panel	THT	main.kicad_pcb, panel.kicad_pcb	
squaresolid/benjolin_gorga	Benjolin Gorga	2	1	board+panel	both	Benjolin Gorga.kicad_pcb, benjolin_1.6_panel.kicad_pcb	
tpcarlson/synth-diy	VCA	2	1	board+panel	THT	vca-board.kicad_pcb, vca-panel.kicad_pcb	
tpcarlson/synth-diy	yarmplus	2	1	board+panel	THT	yarmplus-logic.kicad_pcb, yarmplus-panel.kicad_pcb	
triglav-modular/208_Timbre_Workshop	.	2	1	board+panel	THT	208_Timbre_Workshop.kicad_pcb, 208_Timbre_Workshop_FrontPanel.kicad_pcb	
vauxflores/Electronics	Eurorack/24	2	1	board+panel	THT	VF_24Euro_PCB.brd, VF_24Euro_PANEL.brd	
vauxflores/Electronics	Eurorack/Fabrica	4	1	board+panel	THT	VF_FabricaDeUnicorniosMuertos_PCB.brd, VF_FabricaDeUnicorniosMuertos_BlankPANEL+LED.brd, VF_FabricaDeUnicorniosMuertos_BlankPANEL.brd, VF_FabricaDeUnicorniosMuertos_PANEL.brd	
vauxflores/Electronics	Eurorack/GS	2	1	board+panel	THT	VF_GS_PCB.brd, VF_GS_PANEL.brd	
vauxflores/Electronics	Eurorack/Menu de Secreciones	2	1	board+panel	THT	VF_MDS_PCB.brd, VF_MDS_Panel.brd	
vauxflores/Electronics	Eurorack/Ordovician Restraint	2	1	board+panel	THT	VF_OrdRes_PCB.brd, VF_OrdRes_Panel.brd	
vauxflores/Electronics	Eurorack/Resistance Mixer	2	1	board+panel	THT	VF_4Channel_ResistanceMixer.brd, VF_4Channel_ResistanceMixer_PANEL.brd	
westlicht/performer-hardware	.	2	1	board+panel	SMD	frontpanel.kicad_pcb, sequencer.kicad_pcb	
wntrblm/Sol	hardware/beta	2	1	board+panel	SMD	mainboard.kicad_pcb, panel.kicad_pcb	
AidanTek/ElectricNoodleBox	ModularSeries/FormulaWaveDistortion	7	5	collection	THT	FormulaControls.brd, FormulaCore.brd, Ffrydiau_controls.brd, Ffrydiau_core.brd, Ffrydiau_core1.1.brd, Ffrydiau_Panel.brd, nanaPanelA.brd	
