repo	module_scope	board_files	name_groups	guess	pooled_verdict	counted_files	superseded
microresearch/allcolours	all_colours_kicad	5	4	mixed:revisions+sub-boards	SMD	allcolours.kicad_pcb, allcolours_back01.kicad_pcb, allcolours_fixed21102020.kicad_pcb, allcolours_prelastchanges.kicad_pcb, allcolours_theone.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/MFOS/Noise Cornucopia	4	3	mixed:revisions+sub-boards	THT	MFOS Noise Cornucopia Control.kicad_pcb, MFOS Noise Cornucopia Front.kicad_pcb, MFOS Noise Cornucopia Main 1.kicad_pcb, MFOS Noise Cornucopia Main 2.kicad_pcb	
shmoergh/moduleur	modules/02-vco	3	2	mixed:revisions+sub-boards	both	vco-core.kicad_pcb, vco-core.kicad_pcb, vco-ui.kicad_pcb	
shmoergh/moduleur	modules/06-utils-output	7	4	mixed:revisions+sub-boards	both	utils-output-core.kicad_pcb, utils-output-ui-4-layer.kicad_pcb, utils-output-ui-top-pots.kicad_pcb, utils-output-ui.kicad_pcb, utils-output-ui-4-layer.kicad_pcb, utils-output-ui-top-pots.kicad_pcb, utils-output-ui.kicad_pcb	
AidanTek/ElectricNoodleBox	ModularSeries/TheRightHandPathSVG	3	2	mixed:revisions+unclear-pair	THT	TRHPSVG_Controls_v2.brd, TheRightHandPathSVG.brd	TRHPSVG_Controls.brd
VoltageFoundryMod/ForgeSeries-Hardware	.	13	6	mixed:revisions+variants+collection	both	ControlPCB_SMD_V3.0.kicad_pcb, Control_pcb_v1_1.kicad_pcb, Control_PCB_v1.2.kicad_pcb, ControlPCB_V2.0.kicad_pcb, MainPCB_SMD_V3.0.kicad_pcb, Main_pcb_V1.kicad_pcb, MainPCB_V2.1.kicad_pcb, MainPCB_V2.2.kicad_pcb, ControlPCB_SMD_V3.1.kicad_pcb, Expander1_V1.0.kicad_pcb, Expander2_V1.0.kicad_pcb, MainPCB_SMD_V3.1.kicad_pcb, XIAO RP2040 HAT.kicad_pcb	
AidanTek/ElectricNoodleBox	ModularSeries/TheRightHandPathSVG/Controls	2	1	revisions	THT	TRHPSVG_Controls_v2.brd	TRHPSVG_Controls.brd
BleepSound/ms20-vcf-double	fabrication	3	1	revisions	both	MS20-VCF.kicad_pcb, MS20-VCF.kicad_pcb, MS20-VCF.kicad_pcb	
FuturePresentLabs/mia-eurorack	ripples/hardware_design	2	1	revisions	SMD	ripples_v90.brd	ripples_v40.brd
FuturePresentLabs/mia-eurorack	shades/hardware_design	2	1	revisions	SMD	shades_v40.brd	shades_v30.brd
FuturePresentLabs/mia-eurorack	veils/hardware_design	2	1	revisions	SMD	veils_v110.brd	veils_v40.brd
chairaudio/ILSE	.	3	1	revisions	THT	frontpanel.kicad_pcb, ilse.kicad_pcb, ilseREV2.kicad_pcb	
hallmar/Eurorack-Modules	Fjöl-v0.6/Hardware/fjol-backups/fjol-2022-05-10_095220	5	1	revisions	SMD	fjol 2.kicad_pcb, fjol 3.kicad_pcb, fjol(1).kicad_pcb, fjol.kicad_pcb, frontpanel(1).kicad_pcb	
motovilo/eurorack-diy	dSPLIT	3	1	revisions	THT	dSPLIT_fp_00.brd, DSPLIT_v0.2.brd	DSPLIT.brd
shmoergh/moduleur	modules/01-psu	2	1	revisions	THT	psu.kicad_pcb, psu.kicad_pcb	
supersynthesis/eurorack	Production Modules/2OPFM	4	1	revisions	SMD	Production Modules/2OPFM/jlcpcb/2OPFM_REV5_JLCBOM.csv, Production Modules/2OPFM/jlcpcb/_archive/2OPFM_REV5_JLCBOM.csv	2OPFM_REV3_JLCBOM.csv, 2OPFM_REV4_JLCBOM.csv
supersynthesis/eurorack	Production Modules/2OPFM/jlcpcb	4	1	revisions	SMD	Production Modules/2OPFM/jlcpcb/2OPFM_REV5_JLCBOM.csv, Production Modules/2OPFM/jlcpcb/_archive/2OPFM_REV5_JLCBOM.csv	2OPFM_REV3_JLCBOM.csv, 2OPFM_REV4_JLCBOM.csv
supersynthesis/eurorack	Production Modules/2OPFM/jlcpcb/_archive	3	1	revisions	SMD	Production Modules/2OPFM/jlcpcb/_archive/2OPFM_REV5_JLCBOM.csv	2OPFM_REV3_JLCBOM.csv, 2OPFM_REV4_JLCBOM.csv
508-loop-detected/bounce-sequencer	.	3	3	sub-boards	both	fixed-BOM_bounce-sequencer-io-v3-pushbuttons.csv, fixed-BOM_bounce-sequencer-io-v4-toggles.csv, fixed-BOM_bounce-sequencer-v2-mainboard.csv	
AidanTek/ElectricNoodleBox	ModularSeries/EndingsACMixOutput	4	2	sub-boards	THT	Endings_Controls.brd, EndingsACMixOutput.brd, EndingsMJPanel.brd, EndingsNanaPanel.brd	
AidanTek/ElectricNoodleBox	ModularSeries/FieldsRingModulator	4	2	sub-boards	THT	FieldsControls.brd, FieldsCore.brd, FieldsMJPanel.brd, FieldsNanaPanel.brd	
AidanTek/ElectricNoodleBox	ModularSeries/FormulaWaveDistortion/OldVersions	4	3	sub-boards	THT	Ffrydiau_controls.brd, Ffrydiau_core.brd, Ffrydiau_core1.1.brd, Ffrydiau_Panel.brd	
AidanTek/ElectricNoodleBox	ModularSeries/KnivesDualLoopingARFG	3	2	sub-boards	THT	Knives_Controls.brd, KnivesDualLoopingARFG.brd, KnivesPanel.brd	
AidanTek/ElectricNoodleBox	ModularSeries/Llethrau	2	2	sub-boards	THT	LlethrauControls.brd, Llethrau.brd	
AidanTek/ElectricNoodleBox	ModularSeries/MirrorsDualAttenuverter	3	2	sub-boards	THT	Mirrors_Controls.brd, MirrorsDualAttenuverter.brd, Mirrors_Panel.brd	
AidanTek/ElectricNoodleBox	ModularSeries/PortalsDualExpVCA	4	2	sub-boards	THT	Portals_Controls.brd, PortalsMJPanel.brd, PortalsNanaPanel.brd, PortalsDualExpVCA.brd	
AidanTek/ElectricNoodleBox	ModularSeries/PrismTricoreVCO	4	2	sub-boards	THT	Prism_Controls.brd, PrismMJPanel.brd, PrismNanaPanel.brd, PrismTricoreVCO.brd	
AidanTek/ElectricNoodleBox	ModularSeries/SaltwatersVCEcho	3	2	sub-boards	THT	SaltwatersEchoControls.brd, SaltwatersNanaPanel.brd, SaltwatersEchoCore.brd	
AidanTek/ElectricNoodleBox	ModularSeries/TheLeftHandPathFoC	3	2	sub-boards	THT	LeftHandPath_Controls.brd, LeftHandPath.brd, LeftHandPath_Panel.brd	
AidanTek/ElectricNoodleBox	ModularSeries/TimeSeedsVPClock	3	2	sub-boards	THT	TimeSeedsControls.brd, TimeSeed_Panel.brd, TimeSeedsVPClock.brd	
AidanTek/ElectricNoodleBox	ModularSeries/TransientsVCFG	3	2	sub-boards	THT	TransientsControls.brd, TransientsNanaPanel.brd, TransientsVCFG.brd	
Cs4System/Eurorack	Betula	5	4	sub-boards	SMD	Betula_ADAT.kicad_pcb, Betula_Input.kicad_pcb, Betula_Main.kicad_pcb, Betula_Output.kicad_pcb, Betula_Panel.kicad_pcb	
FuturePresentLabs/mia-eurorack	edges/hardware_design	2	2	sub-boards	both	edges_expander_v01.brd, edges_v20.brd	
FuturePresentLabs/mia-eurorack	streams/hardware_design	2	2	sub-boards	SMD	streams_v02_bargraph.brd, streams_v05.brd	
L71/VCLFO	.	2	2	sub-boards	both	VCLFO_th.brd, VCLFO_th_2.brd	
Nagasaki45/eurorack	1 2 3	3	2	sub-boards	THT	electronics_board.brd, main_board.brd, panel.brd	
PaulStoffregen/O_C_T41	hardware/14HP_panel_and_expanders	3	2	sub-boards	SMD	14HP_PANEL.kicad_pcb, 2HP_EXP_USB_A.kicad_pcb, 2HP_EXT_USB_C.kicad_pcb	
Pl0p/Modular_Synth	Drum-K_MKII	2	2	sub-boards	THT	Controls.kicad_pcb, Drum-K_MKII.kicad_pcb	
QuinnFreedman/modular	modules/Clock	2	2	sub-boards	THT	clock_back_pcb.kicad_pcb, clock_front_pcb.kicad_pcb	
QuinnFreedman/modular	modules/RNG	2	2	sub-boards	both	rng_pcb_back.kicad_pcb, rng_pcb_front.kicad_pcb	
RebelTechnology/RebelTechnology	BelaModular	3	3	sub-boards	both	BelaCore.brd, BelaExpander.brd, bela_cape.brd	
RebelTechnology/RebelTechnology	DualVCA	5	5	sub-boards	both	Attenuverting_LinExp_VCA-alt1.brd, Attenuverting_LinExp_VCA-alt2.brd, Attenuverting_LinExp_VCA.brd, Attenuverting_LinExp_VCA_Bottom.brd, Attenuverting_LinExp_VCA_Top.brd	
RebelTechnology/RebelTechnology	Expander	3	3	sub-boards	both	Expander.brd, ExpanderBottom.brd, MidiExpansion.brd	
RebelTechnology/RebelTechnology	Genius	4	3	sub-boards	both	GeniusBottom.brd, GeniusPanel.brd, GeniusScreenHolder.brd, GeniusTop.brd	
RebelTechnology/RebelTechnology	Magus	4	3	sub-boards	both	Magus.brd, MagusConnectors.brd, MagusExpander.brd, MagusScreenFit.brd	
RebelTechnology/RebelTechnology	MiniPowerAdaptor	2	2	sub-boards	SMD	MiniPowerAdaptor.brd, MiniPowerAdaptorInline.brd	
RebelTechnology/RebelTechnology	Mix04	3	3	sub-boards	both	VCAMatrix.brd, VCAMatrixBottom.brd, VCAMatrixTop.brd	
RebelTechnology/RebelTechnology	OpenSound	2	2	sub-boards	SMD	OpenSoundAnalog.brd, OpenSoundPhoton.brd	
RebelTechnology/RebelTechnology	Prism	3	3	sub-boards	both	Prism.brd, PrismScreen.brd, oled.brd	
RebelTechnology/RebelTechnology	Processor	3	3	sub-boards	both	Processor Controller.brd, Processor Interface.brd, Processor.brd	
Testbild-synth/HAGIWO-029-033-Eurorack-quantizer	.	2	2	sub-boards	THT	control_pcb_v1_1.kicad_pcb, main_pcb.kicad_pcb	
Testbild-synth/Hagiwo_009_030_sequencer	.	2	2	sub-boards	THT	hagiwo_double_seq.kicad_pcb, main_pcb.kicad_pcb	
Testbild-synth/sigma-squared	.	3	3	sub-boards		sigma_control_easyeda.json, sigma_main_easyeda.json, sigma_squared_control_easyeda.json	
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 4	2	2	sub-boards	both	Tuesday(MelodyR2).brd, Tuesday(MelodyR2-smtleds).brd	
ThisIsNotRocketScience/Eurorack-Modules	Development/PJB-Box	2	2	sub-boards	both	MainBoard.brd, UtilityStrip1.brd	
ThisIsNotRocketScience/Eurorack-Modules	Development/PJB-Box/Factory	2	2	sub-boards	SMD	Development/PJB-Box/Factory/UtilityStrip1/UtilityStrip1_BOM.csv, Development/PJB-Box/Factory/mainboard/mainboard_BOM.csv	
ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/STM32test/stm32 oud	3	3	sub-boards	both	stm32_01.brd, stm32_02 - Stijn.brd, stm32_02.brd	
TimoRozendal/time-machine	.	2	2	sub-boards	SMD	Hardware/time machine  v1.4 full BOM.csv, Hardware/time machine  v1.4 pcba - bom.csv	
TomWhitwell/TuringMachine	.	3	2	sub-boards	THT	TuringBack.brd, TuringFront.brd, TuringPanel.brd	
VoltageFoundryMod/IRONMix	V1	2	2	sub-boards	SMD	IRONMix_Frontboard_V1.kicad_pcb, IRONMix_Mainboard_V1.kicad_pcb	
VoltageFoundryMod/IRONMix	V1/jlcpcb	3	2	sub-boards	SMD	V1/jlcpcb/production_files/BOM-4HP_Front_panel.csv, V1/jlcpcb/production_files/BOM-IRONMix_Frontboard_V1.csv, V1/jlcpcb/production_files/BOM-IRONMix_Mainboard_V1.csv	
acobley/Analog-Voice	as3320-Vowel	2	2	sub-boards	both	as3320-Bandpass.brd, as3320-Vowel-1.brd	
atoav/TH-VCO1	.	3	2	sub-boards	THT	vco1_components.brd, vco1_panel.brd, vco1_pots.brd	
attowatt/i2c2midi	hardware/hardware-MK2	4	3	sub-boards	both	board-A.brd, board-B.brd, board.brd, panel.brd	
benjiaomodular/MiniSNH	MiniSNH v1.1/Fabrication	2	2	sub-boards	SMD	MiniSNH v1.1 - Front.kicad_pcb, MiniSNH v1.1 - Main.kicad_pcb	
coriolisinstruments/EurorackModules	Corona/hardware	3	2	sub-boards	THT	Corona_mainBoard.kicad_pcb, Corona_tubeBoard.kicad_pcb, Corona_panel_16hp.kicad_pcb	
coriolisinstruments/EurorackModules	Corona/hardware/Corona_KiCad	2	2	sub-boards	THT	Corona_mainBoard.kicad_pcb, Corona_tubeBoard.kicad_pcb	
coriolisinstruments/EurorackModules	Multibus/hardware/Multibus	2	2	sub-boards	SMD	Multibus_frontboard.kicad_pcb, Multibus_mainboard.kicad_pcb	
dchwebb/Addatone	Hardware/ARM_Dev_Board	2	2	sub-boards	SMD	STM32L152_Dev_Board 1.1.kicad_pcb, STM32L152_Dev_Board.kicad_pcb	
dchwebb/Ampelope	.	4	3	sub-boards	SMD	Ampelope_Adapter.kicad_pcb, Ampelope_Components.kicad_pcb, Ampelope_Controls.kicad_pcb, Ampelope_Panel.kicad_pcb	
dchwebb/Kishoof	.	4	3	sub-boards	SMD	Kishoof_Components.kicad_pcb, Kishoof_Controls.kicad_pcb, Kishoof_Panel.kicad_pcb, Kishoof_screen.kicad_pcb	
dchwebb/Kishoof	Hardware/Combined_Controls_Components	3	2	sub-boards	SMD	Kishoof_Components.kicad_pcb, Kishoof_Panel.kicad_pcb, Kishoof_screen.kicad_pcb	
dchwebb/Kishoof	bu/Proto_Hardware	3	2	sub-boards	SMD	Retrospector_Components.kicad_pcb, Retrospector_Controls.kicad_pcb, Retrospector_Panel.kicad_pcb	
dchwebb/Oscar	Hardware_v3	4	2	sub-boards	SMD	lcd_Daughterboard.kicad_pcb, oscar_components.kicad_pcb, oscar_panel.kicad_pcb, oscar_panel_nousb_variant.kicad_pcb	
dchwebb/Oscar	Old/Hardware_v2	3	2	sub-boards	SMD	lcd_Daughterboard.kicad_pcb, oscar.kicad_pcb, oscar_panel.kicad_pcb	
dchwebb/Punck	.	3	2	sub-boards	SMD	Punck_Components.kicad_pcb, Punck_Controls.kicad_pcb, Punck_Panel.kicad_pcb	
dchwebb/Punck	Hardware_v1_1	3	2	sub-boards	SMD	Punck_Components.kicad_pcb, Punck_Controls.kicad_pcb, Punck_Panel.kicad_pcb	
dchwebb/Retrospector	.	3	2	sub-boards	SMD	Retrospector_Components.kicad_pcb, Retrospector_Controls.kicad_pcb, Retrospector_Panel.kicad_pcb	
dchwebb/Spectralist	.	4	3	sub-boards	SMD	Spectralist_Components.kicad_pcb, Spectralist_Controls.kicad_pcb, Spectralist_LEDs.kicad_pcb, Spectralist_Panel.kicad_pcb	
drChungus/VCSequentialSwitch	.	3	2	sub-boards	SMD	io.brd, panel.brd, pcb.brd	
gerb-ster/Vulcan-DCO	.	2	2	sub-boards	THT	ioboard.brd, mainboard.brd	
hallmar/Eurorack-Modules	MFOS 4ch Stereo Mixer	2	2	sub-boards	THT	stereomix-back.brd, stereomix-front.brd	
hallmar/Eurorack-Modules	MFOS 4ch Stereo Mixer/hardware	2	2	sub-boards	THT	stereomix-back.brd, stereomix-front.brd	
little-scale/eurorack	exo_sequencer	2	2	sub-boards	THT	exo_sequencer.brd, exo_sequencer_back.brd	
loglow/uBraids_SE	.	4	3	sub-boards	SMD	uBraids_SE_Assembly_Template.brd, uBraids_SE_Display_Module.brd, uBraids_SE_Front_Panel.brd, uBraids_SE_Main_Board.brd	
loglow/uClouds_SE	.	5	4	sub-boards	both	uClouds_SE_Assembly_Template.brd, uClouds_SE_Button_Shim.brd, uClouds_SE_Control_Board.brd, uClouds_SE_Front_Panel.brd, uClouds_SE_Main_Board.brd	
loglow/uPlaits_SE	.	4	3	sub-boards	both	uPlaits_SE_Assembly_Template.brd, uPlaits_SE_Control_Board.brd, uPlaits_SE_Front_Panel.brd, uPlaits_SE_Main_Board.brd	
loglow/uRings_SE	.	4	3	sub-boards	SMD	uRings_SE_Assembly_Template.brd, uRings_SE_Control_Board.brd, uRings_SE_Front_Panel.brd, uRings_SE_Main_Board.brd	
loglow/uo_C_SE	.	4	3	sub-boards	SMD	uo_C_SE_Assembly_Template.brd, uo_C_SE_Display_Module.brd, uo_C_SE_Front_Panel.brd, uo_C_SE_Main_Board.brd	
m0xpd/STRACHEY	.	2	2	sub-boards	THT	control board.kicad_pcb, main board.kicad_pcb	
microresearch/allcolours	SR_segments/segments	4	2	sub-boards	SMD	segments.kicad_pcb, segments_for_panelNEWEST.kicad_pcb, segments_liningup.kicad_pcb, segments_panel.kicad_pcb	
microresearch/allcolours	populus/POPULUS_kicad_old-panelnew	3	2	sub-boards	SMD	populus_panel.kicad_pcb, touch_toggle_latest_ADG.kicad_pcb, touch_toggle_latest_ADG_lineup.kicad_pcb	
microresearch/allcolours	touch/touch_kicad_2024	10	2	sub-boards	SMD	touch.kicad_pcb, touch_basecopytotryalign.kicad_pcb, panelcopyforliningupwithjacks.kicad_pcb, touch_panel.kicad_pcb, NEWmoontestpanelfilled..kicad_pcb, NEWtestpanelfilled..kicad_pcb, _autosave-NEWtestpanelfilled..kicad_pcb, panelcopyforliningupwithjacks.kicad_pcb, testpanelfilled..kicad_pcb, touch_panel.kicad_pcb	
microresearch/allcolours	touch/touch_kicad_late2023	9	2	sub-boards	SMD	touch.kicad_pcb, touch_basecopytotryalign.kicad_pcb, panelcopyforliningupwithjacks.kicad_pcb, touch_panel.kicad_pcb, NEWmoontestpanelfilled..kicad_pcb, NEWtestpanelfilled..kicad_pcb, panelcopyforliningupwithjacks.kicad_pcb, testpanelfilled..kicad_pcb, touch_panel.kicad_pcb	
microresearch/allcolours	touch/touch_kicad_new2024	7	2	sub-boards	SMD	touch.kicad_pcb, touch_basecopytotryalign.kicad_pcb, panelcopyforliningupwithjacks.kicad_pcb, touch_panel.kicad_pcb, NEWmoontestpanelfilled..kicad_pcb, NEWtestpanelfilled..kicad_pcb, touch_panel.kicad_pcb	
microresearch/allcolours	touch/touch_kicad_protection	8	2	sub-boards	SMD	touch.kicad_pcb, touch_basecopytotryalign.kicad_pcb, panelcopyforliningupwithjacks.kicad_pcb, touch_panel.kicad_pcb, NEWtestpanelfilled..kicad_pcb, panelcopyforliningupwithjacks.kicad_pcb, testpanelfilled..kicad_pcb, touch_panel.kicad_pcb	
monome/teletype-hardware	.	2	2	sub-boards	SMD	teletype-180824-no-slots.brd, teletype-180824.brd	
motovilo/eurorack-diy	zSUM-4	2	2	sub-boards	both	zSum_4_io_board_rev_A.brd, zSum_4_mainboard_rev_A.brd	
mzuelch/CATs-Eurosynth	Modules/CGS/Analog Switch Matrix	3	3	sub-boards	both	CGS Analog Switch Matrix Control.kicad_pcb, CGS Analog Switch Matrix Front.kicad_pcb, CGS Analog Switch Matrix Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/HAGIWO/4Ch Sample Player	2	2	sub-boards	SMD	HAGIWO 4Ch Sampler Front.kicad_pcb, HAGIWO 4Ch Sampler.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/HAGIWO/6Ch Trigger Sequencer	2	2	sub-boards	SMD	HAGIWO 6Ch Gate Sequencer Front.kicad_pcb, HAGIWO 6Ch Gate Sequencer Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/HAGIWO/Display	2	2	sub-boards	SMD	HAGIWO Display Front.kicad_pcb, HAGIWO Display Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/HAGIWO/Multiout	3	3	sub-boards	SMD	HAGIWO MultiOut Control.kicad_pcb, HAGIWO MultiOut Front.kicad_pcb, HAGIWO MultiOut Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/HAGIWO/Ringfolder	2	2	sub-boards	both	HAGIWO Ringfolder Front.kicad_pcb, HAGIWO Ring Modulator Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/HAGIWO/Sync LFO	2	2	sub-boards	SMD	HAGIWO Sync LFO Front.kicad_pcb, HAGIWO Sync LFO Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Haraldswerk/NGF-E LFO	2	2	sub-boards	THT	Haraldswerk NGF-E LFO Front.kicad_pcb, Haraldswerk NGF-E LFO Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/MFOS/Dual VCA #2	3	3	sub-boards	THT	Dual VCA #2 Control.kicad_pcb, Dual VCA #2 Front.kicad_pcb, Dual VCA #2 Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/MFOS/Eight Stage Phase Shifter	3	3	sub-boards	SMD	MFOS Eight Stage Phase Shifter - Control.kicad_pcb, MFOS Eight Stage Phase Shifter - Front.kicad_pcb, MFOS Eight Stage Phase Shifter - Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Slim Line/Buffered Multiple	2	2	sub-boards	THT	Buffered Multiple Front.kicad_pcb, Buffered Multiple Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Slim Line/Buffered Multiple SMD	2	2	sub-boards	SMD	Buffered Multiple Front.kicad_pcb, Buffered Multiple SMD Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Slim Line/Clock Divider	2	2	sub-boards	SMD	Slimline Clock Divider Front.kicad_pcb, Slimline Clock Divider SMD Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Slim Line/Precision Adder	2	2	sub-boards	SMD	Slimline Presicsion Adder Front.kicad_pcb, Slim Precision Adder Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Slim Line/Rectifier	2	2	sub-boards	THT	Rectifier Front.kicad_pcb, Rectifier Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Slim Line/Rectifier SMD	2	2	sub-boards	SMD	Rectifier Front.kicad_pcb, Rectifier Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Slim Line/Sample&Hold SMD	2	2	sub-boards	both	Sample_and_Hold Front.kicad_pcb, Sample_and_Hold SMD Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Slim Line/VCA	2	2	sub-boards	THT	Slimline VCA Front.kicad_pcb, Slimline VCA Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Slim Line/Voltage Controlled Switch	2	2	sub-boards	SMD	Slimline Voltage Controlled Switch - Front.kicad_pcb, Slimline Voltage Controlled Switch - Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Standard Line/4Ch Mixer	2	2	sub-boards	SMD	4CH Mixer Front.kicad_pcb, 4CH Mixer.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Standard Line/Abakus	3	3	sub-boards	SMD	Abakus Control.kicad_pcb, Abakus Front.kicad_pcb, Abakus Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Standard Line/Baby8 Sequencer	2	2	sub-boards	THT	Baby8 Front.kicad_pcb, Baby 8.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Standard Line/Classic ADSR	2	2	sub-boards	SMD	Classic ADSR Front.kicad_pcb, Classic ADSR Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Standard Line/Clock Divider	3	3	sub-boards	THT	Clock Divider Control.kicad_pcb, Clock Divider Front.kicad_pcb, Clock Divider Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Standard Line/Envelope Follower	2	2	sub-boards	THT	Envelope Follower Front.kicad_pcb, Envelope Follower Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Standard Line/Manual Gate	3	3	sub-boards	THT	Manual Gate Control.kicad_pcb, Manual Gate Front.kicad_pcb, Manual Gate Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Standard Line/Power Module	2	2	sub-boards	THT	Power Module Front.kicad_pcb, Power Modul Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/Standard Line/Vactrol VCF	2	2	sub-boards	THT	Vactrol VCF - Front.kicad_pcb, Vactrol VCF - Main.kicad_pcb	
mzuelch/CATs-Eurosynth	Modules/YuSynth/Balanced Modulator	2	2	sub-boards	both	YuSynth Dual Balanced Modulator Front.kicad_pcb, YuSynth Dual Balanced Modulator Main.kicad_pcb	
niektb/sluisbrinkie-eurorack-published	Sluisbrinkie Shannon	2	2	sub-boards	SMD	fv1_front_module.kicad_pcb, fv1_module.kicad_pcb	
poetaster/HAGIWO_arduino_oscillator	.	3	2	sub-boards	THT	panel_design.kicad_pcb, control_pcb.kicad_pcb, main_pcb.kicad_pcb	
poetaster/sluisbrinkie-eurorack-published	FV1 Module	2	2	sub-boards	SMD	fv1_front_module.kicad_pcb, fv1_module.kicad_pcb	
ramphands/Exits	.	4	3	sub-boards	SMD	_autosave-nearness.kicad_pcb, exits board A.kicad_pcb, exits board B.kicad_pcb, exits.kicad_pcb	
reidevries/optofilter	.	2	2	sub-boards	both	audio.brd, cv.brd	
rheslip/2HPico-Eurorack-Module-Hardware	2HPico KiCad design files	2	2	sub-boards	SMD	Pico 2HP Controls.kicad_pcb, Pico 2HP.kicad_pcb	
seismicindustries/spink0	hardware/spink0_adaption/060_spink0_MB	4	2	sub-boards	SMD	pink0_FrontPanel.kicad_pcb, pink0_mergeMK1.kicad_pcb, pink0.kicad_pcb, pink0_FrontPanel.kicad_pcb	
shmoergh/moduleur	modules/03-sidechain-mixer	2	2	sub-boards	both	sidechain-mixer-core.kicad_pcb, sidechain-mixer-ui.kicad_pcb	
shmoergh/moduleur	modules/04-vcf	2	2	sub-boards	both	vcf-core.kicad_pcb, vcf-ui.kicad_pcb	
shmoergh/moduleur	modules/05-adsr-vca	2	2	sub-boards	both	adsr-vca-core.kicad_pcb, adsr-vca-ui.kicad_pcb	
shmoergh/moduleur	modules/06-utils-output/experimental/ui-l+r-out	3	3	sub-boards	both	utils-output-ui-4-layer.kicad_pcb, utils-output-ui-top-pots.kicad_pcb, utils-output-ui.kicad_pcb	
shmoergh/moduleur	modules/07-brain	2	2	sub-boards	both	brain-core.kicad_pcb, brain-ui.kicad_pcb	
shmoergh/moduleur	modules/08-default-patch	2	2	sub-boards		modules/08-default-patch/default-patch-full-bom.csv, modules/08-default-patch/production/bom.csv	
sonocircuit/EXIST-RIP	EXIST-EAGLE FILES	3	3	sub-boards	THT	EXIST_1U_Intellijel_PCB.brd, EXIST_1U_Pulplogic_PCB.brd, EXIST_Transformer_PCB.brd	
spielhuus/elektrophon	content/old/555	3	2	sub-boards	both	main.kicad_pcb, mount.kicad_pcb, panel.kicad_pcb	
spielhuus/elektrophon	content/old/VCO3340	3	2	sub-boards	THT	main.kicad_pcb, mount.kicad_pcb, panel.kicad_pcb	
spielhuus/elektrophon	content/old/filter	4	2	sub-boards	both	main.kicad_pcb, mount.kicad_pcb, panel.kicad_pcb, panel.kicad_pcb	
spielhuus/elektrophon	content/old/hall	3	2	sub-boards	both	main.kicad_pcb, mount.kicad_pcb, panel.kicad_pcb	
spielhuus/elektrophon	content/old/konsole	3	2	sub-boards	THT	main.kicad_pcb, mount.kicad_pcb, panel.kicad_pcb	
spielhuus/elektrophon	content/old/kontakt	3	2	sub-boards	THT	main.kicad_pcb, mount.kicad_pcb, panel.kicad_pcb	
spielhuus/elektrophon	content/old/kontur	3	2	sub-boards	both	main.kicad_pcb, mount.kicad_pcb, panel.kicad_pcb	
spielhuus/elektrophon	content/old/oberwelle	3	2	sub-boards	THT	main.kicad_pcb, mount.kicad_pcb, panel.kicad_pcb	
spielhuus/elektrophon	content/old/welle	3	2	sub-boards	both	main.kicad_pcb, mount.kicad_pcb, panel.kicad_pcb	
supersynthesis/eurorack	Unreleased/PNGBL	2	2	sub-boards	SMD	Unreleased/PNGBL/PNGBL_V2_BOM.csv, Unreleased/PNGBL/PNGBL_V2_JLCBOM.csv	
svgeesus/ondesModulaire	offsets	2	2	sub-boards	both	offsets-7x.brd, offsets.brd	
tpcarlson/synth-diy	VCDO	3	2	sub-boards	THT	vcvco-board.kicad_pcb, vcvco-panel.kicad_pcb, vcvco.kicad_pcb	
tpcarlson/synth-diy	drumfiend	4	3	sub-boards	both	impact-main.kicad_pcb, impact-pal.kicad_pcb, impact-panel.kicad_pcb, impact-sub.kicad_pcb	
