tier	repo	module_dir	dirs_in_repo	boards	status
1	polykit/eurorack-psu	.	1	1	done
1	polykit/pico-dco	.	1	1	done
1	polykit/vca-8	.	1	1	done
1	polykit/vco-1	.	1	1	done
1	ramphands/Exits	.	1	4	done
1	ramphands/LinearPowerBoard	.	1	0	done
1	raphschwarz/Circuit-Abbey-G8-DIY-EDIT	.	1	2	done
1	RebelTechnology/Chronos	.	1	0	done
1	reidevries/optofilter	.	1	2	done
1	reidevries/shiitakevm	.	1	1	done
1	samjkent/modular-mixer	.	1	0	done
1	scanner-darkly/two-one	tgo core	1	0	todo
1	seismicindustries/IPS2	.	1	1	done
1	shaduzlabs/pink-0	.	1	1	done
1	shannon-greenlight/Melper	.	1	1	done
1	shorepine/tulipcc	.	1	9	todo
1	SonicPotions/Penrose	.	1	0	skip
1	sonocircuit/EXIST-RIP	EXIST-EAGLE FILES	1	3	done
1	soundslikefrank/grow	.	1	1	done
1	SourceryOne/Arduino-Sample-and-Hold	.	1	0	done
1	SourceryOne/Beaks	.	1	0	done
1	SourceryOne/Grenar	.	1	0	done
1	spherical-sound-society/vortex-generator	.	1	0	done
1	StudioKAT/PassiveLPG1U	v1.0	1	1	done
1	StudioKAT/VintageDualVCA	v1.0	1	1	done
1	Synthrotek/ADSR	.	1	0	done
1	terrabite3/BB8	.	1	0	done
1	Testbild-synth/HAGIWO-005-Eurorack-sequencer	.	1	2	done
1	Testbild-synth/HAGIWO-029-033-Eurorack-quantizer	.	1	2	done
1	Testbild-synth/Hagiwo_009_030_sequencer	.	1	2	done
1	Testbild-synth/headphone	.	1	0	done
1	Testbild-synth/sigma-squared	.	1	0	done
1	thismatters/EurorackClockDiv2	.	1	1	done
1	thismatters/EurorackGateDelay	.	1	1	curated
1	thismatters/EurorackTuringMachine	.	1	1	done
1	TimoRozendal/time-machine	.	1	0	done
1	todbot/TrinketTouringMachine	.	1	6	done
1	TOILmodular/EurorackVCPanner	.	1	0	done
1	TOILmodular/Plaits	.	1	0	done
1	TOILmodular/RAT	.	1	0	done
1	TOILmodular/TidesV2	.	1	0	done
1	TomWhitwell/Workshop_Computer	.	1	0	done
1	triglav-modular/208_Timbre_Workshop	.	1	1	done
1	triglav-modular/Voltage_Processor	.	1	1	skip
1	VikingCube/VC-PCB-Midi	.	1	1	done
1	VoltageFoundryMod/ForgeSeries	.	1	0	todo
1	VoltageFoundryMod/ForgeSeries-Hardware	.	1	13	skip
1	westlicht/performer-hardware	.	1	1	done
1	whimsicalraps/RIP_DIY	.	1	2	done
1	WimOliphant/bergman-kassutronics-adsr-kicad-gerber	.	1	1	done
1	WimOliphant/tb303_vcf_kicad_project_gerbers	.	1	1	done
1	Yorams/performancevco	.	1	1	done
1	yorkmodular-cc/resonant-filters	.	1	3	done
1	yorkmodular/C7H5NO3S	.	1	0	done
1	yorkmodular/vaclpg-rev2	.	1	0	curated
1	yorkmodular/yavcf	.	1	0	done
2	4ms/pcb-RCD-SCM-clocker	pcb-v1.0.4-kit/gEDA	2	1	skip
2	4ms/pcb-RCD-SCM-clocker	pcb-v1.2	2	1	done
2	4ms/QPLFO-v22	.	3	1	skip
2	4ms/QPLFO-v22	hardware/kicad v4	3	1	skip
2	4ms/QPLFO-v22	hardware/kicad v5	3	1	done
2	4ms/STS	.	2	0	done
2	4ms/STS	hardware/Kicad-6-project	2	0	skip
2	4ms/SWN	.	2	1	skip
2	4ms/SWN	hardware/Kicad project/SWN v1.1	2	1	done
2	AfterLaterAudio/Eurorack	Baker	3	1	done
2	AfterLaterAudio/Eurorack	Popple	3	1	done
2	AfterLaterAudio/Eurorack	Rainier	3	1	done
2	Allen-Synthesis/EuroPi	.	3	3	skip
2	Allen-Synthesis/EuroPi	hardware/surface-mount	3	1	done
2	Allen-Synthesis/EuroPi	hardware/through-hole	3	2	done
2	Andreas-Dorfner/Powerline-USB-C	Powerline-USB-C	2	1	done
2	Andreas-Dorfner/Powerline-USB-C	Powerline-USB-C-Frontpanel	2	0	skip
2	attowatt/i2c2midi	hardware/hardware-MK1	2	1	skip
2	attowatt/i2c2midi	hardware/hardware-MK2	2	3	done
2	bartinstruments/open-source	DUAL SSI2130 VCO CORE	2	1	skip
2	bartinstruments/open-source	MATRIX MIXER	2	1	done
2	bastl-instruments/kastle2	.	2	0	skip
2	bastl-instruments/kastle2	case/top-panel	2	0	skip
2	BelaPlatform/gliss-hardware	gliss_faceplate	3	0	skip
2	BelaPlatform/gliss-hardware	gliss_led	3	1	skip
2	BelaPlatform/gliss-hardware	gliss_main	3	1	done
2	benjiaomodular/MiniSNH	MiniSNH v1.0	5	2	skip
2	benjiaomodular/MiniSNH	MiniSNH v1.0/Inkscape Panel	5	2	skip
2	benjiaomodular/MiniSNH	MiniSNH v1.1	5	4	done
2	benjiaomodular/MiniSNH	MiniSNH v1.1/Fabrication	5	2	done
2	benjiaomodular/MiniSNH	MiniSNH v1.1/Inkscape Panel	5	1	done
2	bmoren/Stereo-Output-2hp	PSO_panel_rev1	5	0	skip
2	bmoren/Stereo-Output-2hp	PSO_panel_rev1/gerbs	5	0	skip
2	bmoren/Stereo-Output-2hp	PSO_panel_rev2	5	0	skip
2	bmoren/Stereo-Output-2hp	passive_stereo_output_rev1	5	1	done
2	bmoren/Stereo-Output-2hp	passive_stereo_output_rev1/gerbs	5	0	done
2	bmoren/two-tone	rev1_PCB	4	1	done
2	bmoren/two-tone	rev1_PCB/tow_tone_rev1_gerbs	4	0	done
2	bmoren/two-tone	rev2_panel_PCB/gerbs	4	0	skip
2	bmoren/two-tone	rev2_panel_PCB/twotone_rev2_panel	4	0	skip
2	bpcmusic/telex	hardware/TELEXi	2	1	done
2	bpcmusic/telex	hardware/TELEXo	2	1	done
2	ctag-fh-kiel/ctag-tbd	.	2	1	done
2	ctag-fh-kiel/ctag-tbd	hw/frontplate	2	0	skip
2	dchwebb/Addatone	.	3	5	done
2	dchwebb/Addatone	Hardware/ARM_Dev_Board	3	2	todo
2	dchwebb/Addatone	Hardware/bu	3	0	skip
2	dchwebb/DisPhaze	.	4	3	skip
2	dchwebb/DisPhaze	Hardware/bu	4	1	skip
2	dchwebb/DisPhaze	Hardware_v3	4	1	skip
2	dchwebb/DisPhaze	Hardware_v3.5	4	1	done
2	dchwebb/Kishoof	.	5	5	skip
2	dchwebb/Kishoof	Hardware/Combined_Controls_Components	5	2	done
2	dchwebb/Kishoof	Hardware/Kishoof_Controls	5	1	skip
2	dchwebb/Kishoof	Hardware/Kishoof_Panel	5	0	skip
2	dchwebb/Kishoof	bu/Proto_Hardware	5	2	skip
2	dchwebb/Oscar	.	5	3	skip
2	dchwebb/Oscar	Hardware_v3	5	2	done
2	dchwebb/Oscar	Hardware_v3/jlcpcb	5	0	done
2	dchwebb/Oscar	Old/Hardware_v1	5	1	skip
2	dchwebb/Oscar	Old/Hardware_v2	5	2	skip
2	dchwebb/Punck	.	3	2	skip
2	dchwebb/Punck	Hardware_v1_1	3	2	done
2	dchwebb/Punck	Hardware_v1_1/jlcpcb	3	0	done
2	dchwebb/Retrospector	.	2	2	done
2	dchwebb/Retrospector	Hardware/bu	2	1	skip
2	dchwebb/Spectralist	.	4	3	done
2	dchwebb/Spectralist	Hardware/Spectralist_Components	4	1	skip
2	dchwebb/Spectralist	Hardware/Spectralist_LEDs	4	0	skip
2	dchwebb/Spectralist	Hardware/jlcpcb	4	0	skip
2	DIYSynthMNL/Eurorack-2164-Quad-Exponential-VCA	.	2	1	done
2	DIYSynthMNL/Eurorack-2164-Quad-Exponential-VCA	Schematic PDFs	2	0	skip
2	DIYSynthMNL/Eurorack-Electric-Druid-VCDO1	.	2	1	done
2	DIYSynthMNL/Eurorack-Electric-Druid-VCDO1	Schematic PDFs	2	0	skip
2	emeb/Cheep4	Hardware/cheep4	2	1	done
2	emeb/Cheep4	Hardware/cheep4_panel	2	0	skip
2	emeb/g081_audio	.	3	1	skip
2	emeb/g081_audio	Hardware/audio_panel	3	0	skip
2	emeb/g081_audio	Hardware/g081_audio	3	1	done
2	emeb/S3GTA	Hardware/s3gta_back	2	1	done
2	emeb/S3GTA	Hardware/s3gta_panel	2	0	skip
2	environscape/ContourLine	.	3	0	skip
2	environscape/ContourLine	Hardware/v2.1 4HP	3	0	skip
2	environscape/ContourLine	Hardware/v2.2 4HP	3	0	done
2	jakplugg/Orgone-accumulator	DIY3.0_SMD	2	0	done
2	jakplugg/Orgone-accumulator	DIY3.0_SMD/PCBPANEL	2	0	done
2	jakplugg/utidesII	.	3	1	done
2	jakplugg/utidesII	PCBPanel	3	0	skip
2	jakplugg/utidesII	gerb_02	3	0	skip
2	JMHanson4/Miasma_1.03_Revised	Miasma_IO_smd	5	1	skip
2	JMHanson4/Miasma_1.03_Revised	Miasma_IO_smd/BOM and CPL	5	0	skip
2	JMHanson4/Miasma_1.03_Revised	Miasma_Main_smd	5	1	skip
2	JMHanson4/Miasma_1.03_Revised	Miasma_Main_smd/BOM and CPL	5	0	skip
2	JMHanson4/Miasma_1.03_Revised	Miasma_Panel	5	0	skip
2	johannesstrueber/dots	kicad_frontpanel	2	0	skip
2	johannesstrueber/dots	kicad_main	2	1	done
2	jsenzel1/supra	.	4	1	skip
2	jsenzel1/supra	hardware/board final for public	4	1	done
2	jsenzel1/supra	hardware/panel final for public	4	0	skip
2	jsenzel1/supra	hardware/panel final for public/supra	4	0	skip
2	kevinkewang/tiny_rack	v1/power pcb	5	2	done
2	kevinkewang/tiny_rack	v1/power pcb/tiny-psu-exp	5	1	done
2	kevinkewang/tiny_rack	v1/power pcb/tiny-psu-main	5	1	done
2	kevinkewang/tiny_rack	v1/power pcb/tiny-psu-main/smt	5	0	done
2	kevinkewang/tiny_rack	v2	5	3	done
2	kstammits/crimps	Jinx	2	1	done
2	kstammits/crimps	crimps	2	1	curated?
2	m0xpd/FLIP	.	2	2	curated
2	m0xpd/FLIP	Eurorack/Control Board/Files	2	1	curated?
2	M4ngu/FranKinksTides	first_version 	4	1	skip
2	M4ngu/FranKinksTides	last_version_v1.4	4	1	done
2	M4ngu/FranKinksTides	second_version_v1.2	4	1	skip
2	M4ngu/FranKinksTides	second_version_v1.2/FanKinksTides_12	4	0	skip
2	maasijam/MONOFA	MF-X1	3	0	done
2	maasijam/MONOFA	MF-X2	3	0	done
2	maasijam/MONOFA	MONOFA	3	0	done
2	microresearch/WORM	.	2	6	done
2	microresearch/WORM	revival	2	6	done
2	MidiverseModular/MVM_OOAK_Project	MVM016_VCO	5	0	done
2	MidiverseModular/MVM_OOAK_Project	MVM019_Quad Envelope	5	0	done
2	MidiverseModular/MVM_OOAK_Project	MVM020_Skew LFO	5	0	done
2	MidiverseModular/MVM_OOAK_Project	MVM021_Utility Mixer	5	0	done
2	MidiverseModular/MVM_OOAK_Project	MVM024_VCF	5	0	done
2	mohoyt/2600ish_vcf	.	2	1	done
2	mohoyt/2600ish_vcf	2600ish Panel	2	0	skip
2	mohoyt/output_mixer	.	2	1	done
2	mohoyt/output_mixer	jlcpcb	2	0	skip
2	motovilo/eurorack-diy	dSPLIT	5	3	done
2	motovilo/eurorack-diy	zLINEIN	5	2	done
2	motovilo/eurorack-diy	zOUT	5	2	done
2	motovilo/eurorack-diy	zSUM-4	5	2	done
2	motovilo/eurorack-diy	zSUM-4/io_board	5	1	done
2	Nagasaki45/eurorack	1 2 3	4	2	done
2	Nagasaki45/eurorack	I M smart	4	1	done
2	Nagasaki45/eurorack	eurodev	4	1	done
2	Nagasaki45/eurorack	lets play together	4	1	done
2	naokiiwakami/analog2.0	10_miniboard	4	0	done
2	naokiiwakami/analog2.0	others/analog_sequencer	4	0	done
2	naokiiwakami/analog2.0	others/phase_shifter	4	1	done
2	naokiiwakami/analog2.0	others/resonator	4	1	done
2	oamodular/uncertainty	hardware/2hp-smt-uncertainty	3	1	done
2	oamodular/uncertainty	hardware/4hp-diy-uncertainty	3	2	done
2	oamodular/uncertainty	hardware/4hp-diy-uncertainty/DIY Plate	3	1	done
2	odeliy/noise-reap	modules/3xVCA	4	1	done
2	odeliy/noise-reap	modules/anomaly	4	1	done
2	odeliy/noise-reap	modules/foundation	4	1	done
2	odeliy/noise-reap	modules/paradox	4	1	done
2	Pl0p/Modular_Synth	Drum-H	5	1	done
2	Pl0p/Modular_Synth	Drum-K_MKII	5	2	done
2	Pl0p/Modular_Synth	Drum-S	5	1	done
2	Pl0p/Modular_Synth	OLD/Drum-K	5	1	skip
2	Pl0p/Modular_Synth	OLD/GateOmatix/Hardware	5	2	done
2	PoloAudiovisual/Quatro	Quatro_rev1.0	2	0	skip
2	PoloAudiovisual/Quatro	Quatro_rev1.1	2	0	done
2	promesoft/KicadJE_MoogVCF	KicadJE_MoogVCF_1	2	2	skip
