repo	module_scope	components	comp_basis	comp_conf	detector_version
4ms/pcb-RCD-SCM-clocker	pcb-v1.2	SMD	kicad footprints (files=1: clocker-12b.kicad_pcb): smd=43 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=4	Strong	19
4ms/QPLFO-v22	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
4ms/QPLFO-v22	hardware/kicad v4	SMD	kicad footprints (files=1: qplfo_v22.kicad_pcb): smd=150 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=10	Strong	19
4ms/QPLFO-v22	hardware/kicad v5	SMD	kicad footprints (files=1: qplfo_v22.kicad_pcb): smd=150 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=10	Strong	19
4ms/STS	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
4ms/STS	hardware/Kicad-6-project		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
4ms/SWN	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
4ms/SWN	hardware/Kicad project/SWN v1.1	SMD	kicad footprints (files=1: SWN.kicad_pcb): smd=510 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=24	Strong	19
Allen-Synthesis/EuroPi	.		1 .kicad_pcb fetched but held no footprints (LFS stub or empty board?): europi-panel.kicad_pcb (182111 bytes)	Deferred	19
Allen-Synthesis/EuroPi	hardware/surface-mount	SMD	kicad footprints (files=1: europi-surface-mount.kicad_pcb): smd=68 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=3	Strong	19
Allen-Synthesis/EuroPi	hardware/through-hole		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
Andreas-Dorfner/Powerline-USB-C	Powerline-USB-C	SMD	kicad footprints (files=1: Powerline-USB-C.kicad_pcb): smd=11 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
Andreas-Dorfner/Powerline-USB-C	Powerline-USB-C-Frontpanel		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
attowatt/i2c2midi	hardware/hardware-MK1	THT	eagle packages (files=2: i2c2midi_board.brd, i2c2midi_panel.brd): smd=0 tht_passive=9 tht_to=1 tht_ic=1 (panel excluded) smd_ic=0	Strong	19
attowatt/i2c2midi	hardware/hardware-MK2	both	eagle packages (files=4: board-A.brd, board-B.brd, board.brd, panel.brd): smd=2 tht_passive=24 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
bartinstruments/open-source	DUAL SSI2130 VCO CORE		1 .kicad_pcb fetched but held no footprints (LFS stub or empty board?): DUAL SSI2130 VCO CORE.kicad_pcb (1999 bytes)	Deferred	19
bartinstruments/open-source	MATRIX MIXER		1 .kicad_pcb fetched but held no footprints (LFS stub or empty board?): (400) MATRIX MIXER.kicad_pcb (1999 bytes)	Deferred	19
minisystem/VXO-PSU	.	SMD	kicad footprints (files=1: VXO_PSU.kicad_pcb): smd=25 tht_passive=1 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
mohoyt/as3340_vco	.	THT	kicad footprints (files=1: 3340_vco.kicad_pcb): smd=0 tht_passive=46 tht_to=0 tht_ic=2 (panel excluded) smd_ic=0	Strong	19
monome/teletype-hardware	.	SMD	eagle packages (files=2: teletype-180824-no-slots.brd, teletype-180824.brd): smd=274 tht_passive=4 tht_to=2 tht_ic=0 (panel excluded) smd_ic=34	Strong	19
moPsy-project/div	.	both	kicad footprints (files=1: div.kicad_pcb): smd=8 tht_passive=36 tht_to=10 tht_ic=1 (panel excluded) smd_ic=0	Strong	19
mxmxmx/3HP_dual_OA	.	SMD	BOM (files=1: BOM.md): smd=7 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=1	Stated	19
mxmxmx/CV2Midi	.	SMD	BOM (files=1: hardware/BOM.md): smd=13 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=2	Stated	19
mxmxmx/terminal_tedium	.	SMD	BOM (files=1: BOM_wm8731.md): smd=14 tht_passive=1 tht_to=0 tht_ic=0 (panel excluded) smd_ic=5	Stated	19
mysticcircuits/ANA2	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
mysticcircuits/TREE	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
mysticcircuits/Vert	.	both	eagle packages (files=1: the vert annotated.brd): smd=26 tht_passive=12 tht_to=0 tht_ic=5 (panel excluded) smd_ic=3	Strong	19
mzourack/QUAAD	.	SMD	kicad footprints (files=2: QUAAD_V1_1.kicad_pcb, Quaad_panel_V1_1.kicad_pcb): smd=120 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=11	Strong	19
oamodular/time-machine	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
pingdynasty/ClockDelay	.		BOM [no package named for 48 part(s)] (files=1: ClockDelayBOM.txt): smd=0 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Deferred	19
pingdynasty/Tonic	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
poetaster/candelabra	.		BOM (files=1: candelabra_bom_csv.csv): smd=0 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Deferred	19
poetaster/HAGIWO_arduino_oscillator	.	THT	kicad footprints (files=3: panel_design.kicad_pcb, control_pcb.kicad_pcb, main_pcb.kicad_pcb): smd=0 tht_passive=2 tht_to=1 tht_ic=1 (panel excluded) smd_ic=0	Strong	19
poetaster/portcullis	.		BOM (files=1: portcullis_bom_csv.csv): smd=0 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Deferred	19
polykit/eurorack-psu	.	THT	kicad footprints (files=1: eurorack-psu.kicad_pcb): smd=0 tht_passive=23 tht_to=3 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
polykit/pico-dco	.	both	kicad footprints (files=1: pico-dco.kicad_pcb): smd=1 tht_passive=125 tht_to=7 tht_ic=7 (panel excluded) smd_ic=0	Strong	19
polykit/vco-1	.	both	eagle packages (files=1: vco.brd): smd=1 tht_passive=64 tht_to=3 tht_ic=3 (panel excluded) smd_ic=0	Strong	19
ramphands/Exits	.	SMD	kicad footprints (files=4: _autosave-nearness.kicad_pcb, exits board A.kicad_pcb, exits board B.kicad_pcb, exits.kicad_pcb): smd=138 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=6	Strong	19
ramphands/LinearPowerBoard	.		BOM [no package named for 10 part(s)] (files=1: linearpowerboard BOM.xlsx): smd=0 tht_passive=6 tht_to=6 tht_ic=0 (panel excluded) smd_ic=0	Weak	19
raphschwarz/Circuit-Abbey-G8-DIY-EDIT	.	both	eagle packages (files=2: G8CntlA (109,5x19).brd, G8MainA (99,5x31).brd): smd=64 tht_passive=13 tht_to=0 tht_ic=0 (panel excluded) smd_ic=12	Strong	19
RebelTechnology/Chronos	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
reidevries/optofilter	.	both	eagle packages (files=2: audio.brd, cv.brd): smd=59 tht_passive=12 tht_to=0 tht_ic=0 (panel excluded) smd_ic=6	Strong	19
reidevries/shiitakevm	.	both	eagle packages (files=1: shiitakevmctl.brd): smd=21 tht_passive=16 tht_to=0 tht_ic=0 (panel excluded) smd_ic=5	Strong	19
scanner-darkly/two-one	tgo core		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
seismicindustries/IPS2	.	both	kicad footprints (files=1: IPS2.kicad_pcb): smd=41 tht_passive=8 tht_to=0 tht_ic=0 (panel excluded) smd_ic=1	Strong	19
shaduzlabs/pink-0	.	SMD	eagle packages (files=1: pink-0.brd): smd=24 tht_passive=1 tht_to=0 tht_ic=0 (panel excluded) smd_ic=2	Strong	19
shannon-greenlight/Melper	.	both	kicad footprints (files=1: Melper.kicad_pcb): smd=4 tht_passive=18 tht_to=1 tht_ic=1 (panel excluded) smd_ic=0	Strong	19
shorepine/tulipcc	.	SMD	kicad footprints (files=1: tulipcc.kicad_pcb): smd=73 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=1	Strong	19
SonicPotions/Penrose	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
sonocircuit/EXIST-RIP	EXIST-EAGLE FILES	THT	eagle packages (files=3: EXIST_1U_Intellijel_PCB.brd, EXIST_1U_Pulplogic_PCB.brd, EXIST_Transformer_PCB.brd): smd=0 tht_passive=2 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
soundslikefrank/grow	.	SMD	kicad footprints (files=1: grow.kicad_pcb): smd=100 tht_passive=1 tht_to=0 tht_ic=0 (panel excluded) smd_ic=3	Strong	19
SourceryOne/Arduino-Sample-and-Hold	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
SourceryOne/Beaks	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
SourceryOne/Grenar	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
StudioKAT/PassiveLPG1U	v1.0	SMD	kicad footprints (files=1: Passive LPG 1U.kicad_pcb): smd=7 tht_passive=0 tht_to=1 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
StudioKAT/VintageDualVCA	v1.0	SMD	kicad footprints (files=1: Vintage Dual VCA_v1.0.kicad_pcb): smd=72 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=6	Strong	19
Synthrotek/ADSR	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
terrabite3/BB8	.		easyeda pcb json [unclassified: 1N4148x12 ALPHA9MMx9 CAP-D5.0×F2.0x4 MINIx2 PINSHRD_PTH_2X08x1] (files=1: BB8_PCB.json): smd=0 tht_passive=25 tht_to=0 tht_ic=3 (panel excluded) smd_ic=0	Weak	19
Testbild-synth/HAGIWO-005-Eurorack-sequencer	.	THT	kicad footprints (files=2: hagiwo_genseq.kicad_pcb, main_pcb_v1_1.kicad_pcb): smd=0 tht_passive=3 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
Testbild-synth/HAGIWO-029-033-Eurorack-quantizer	.	THT	kicad footprints (files=2: control_pcb_v1_1.kicad_pcb, main_pcb.kicad_pcb): smd=0 tht_passive=7 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
Testbild-synth/Hagiwo_009_030_sequencer	.	THT	kicad footprints (files=2: hagiwo_double_seq.kicad_pcb, main_pcb.kicad_pcb): smd=0 tht_passive=3 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
Testbild-synth/sigma-squared	.		easyeda pcb json [unclassified: 1N4148x6 2N3906x5 BC547x3 CAPx3 CAPACITORx1] (files=3: sigma_control_easyeda.json, sigma_main_easyeda.json, sigma_squared_control_easyeda.json): smd=0 tht_passive=120 tht_to=0 tht_ic=5 (panel excluded) smd_ic=0	Weak	19
thismatters/EurorackClockDiv2	.	SMD	kicad footprints (files=1: clkdiv2.kicad_pcb): smd=34 tht_passive=3 tht_to=0 tht_ic=0 (panel excluded) smd_ic=4	Strong	19
thismatters/EurorackTuringMachine	.	both	kicad footprints (files=1: turing-machine.kicad_pcb): smd=68 tht_passive=6 tht_to=1 tht_ic=0 (panel excluded) smd_ic=12	Strong	19
TimoRozendal/time-machine	.	SMD	BOM [no package named for 1 part(s)] (files=2: Hardware/time machine  v1.4 full BOM.csv, Hardware/time machine  v1.4 pcba - bom.csv): smd=22 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=2	Stated	19
16n-faderbank/16nx	.	SMD	kicad footprints (files=1: 16nx.kicad_pcb): smd=112 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=6	Strong	19
4ms/DLD	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
4ms/SMR	.	both	eagle packages (files=1: smrf-v1.0.1b.brd): smd=343 tht_passive=8 tht_to=0 tht_ic=0 (panel excluded) smd_ic=31	Strong	19
508-loop-detected/bounce-sequencer	.	both	BOM (files=3: fixed-BOM_bounce-sequencer-io-v3-pushbuttons.csv, fixed-BOM_bounce-sequencer-io-v4-toggles.csv, fixed-BOM_bounce-sequencer-v2-mainboard.csv): smd=120 tht_passive=6 tht_to=3 tht_ic=0 (panel excluded) smd_ic=16	Stated	19
508-loop-detected/burst	.	SMD	BOM [superseded, not counted: BOM_PCB_burst-back-v1.0_2022-12-26.csv, BOM_PCB_burst-front-v1.0_2022-12-26.csv] [no package named for 4 part(s)] (files=2: fixed-BOM_PCB_burst-back-v1.0_2022-12-26.csv, fixed-BOM_PCB_burst-front-v1.0_2022-12-26.csv): smd=98 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=10	Stated	19
508-loop-detected/minibounce	.	SMD	BOM [superseded, not counted: BOM_bounce-mini-back-1_2021-10-07.csv, BOM_bounce-mini-daughtercard_2021-10-07.csv, BOM_bounce-mini-io_2021-10-07.csv] (files=3: fixed-BOM_bounce-mini-back-1_2021-10-07.csv, fixed-BOM_bounce-mini-daughtercard_2021-10-07.csv, fixed-BOM_bounce-mini-io_2021-10-07.csv): smd=88 tht_passive=0 tht_to=1 tht_ic=0 (panel excluded) smd_ic=14	Stated	19
508-loop-detected/nverb	.	both	BOM (files=1: BOM_nverb-eurorack_2021-05-06.csv): smd=209 tht_passive=12 tht_to=0 tht_ic=0 (panel excluded) smd_ic=13	Stated	19
508-loop-detected/quant	.	SMD	BOM [superseded, not counted: BOM_PCB_circuitpython-quantizer-main-new-w-rp2040-v2_2024-01-04.csv, BOM_circuitpython-quantizer-io-v2.1_2024-02-04.csv, BOM_circuitpython-quantizer-io-v2_2024-01-11.csv] (files=2: fixed-BOM_PCB_circuitpython-quantizer-main-new-w-rp2040-v2_2024-01-04.csv, fixed-BOM_circuitpython-quantizer-io-v2.1_2024-02-04.csv): smd=71 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=3	Stated	19
abluenautilus/Tap-O-Matic-DDV	.	THT	kicad footprints (files=1: Tap-O-Matic.kicad_pcb): smd=0 tht_passive=14 tht_to=0 tht_ic=4 (panel excluded) smd_ic=0	Strong	19
Allen-Synthesis/Kompari	.	THT	kicad footprints (files=1: kompari.kicad_pcb): smd=0 tht_passive=0 tht_to=0 tht_ic=1 (panel excluded) smd_ic=0	Strong	19
atoav/TH-VCO1	.	THT	eagle packages (files=3: vco1_components.brd, vco1_panel.brd, vco1_pots.brd): smd=0 tht_passive=60 tht_to=2 tht_ic=5 (panel excluded) smd_ic=0	Strong	19
AudioMorphology/Europi	.	both	kicad footprints (files=8: europi_main.kicad_pcb, europi_main_frontpanel.kicad_pcb, europi_main_frontpanel.kicad_pcb, europi_main_v2.kicad_pcb, midi_minion.kicad_pcb, midi_minion_frontpanel.kicad_pcb, minion.kicad_pcb, minion_frontpanel.kicad_pcb): smd=76 tht_passive=20 tht_to=1 tht_ic=1 (panel excluded) smd_ic=10	Strong	19
AudioMorphology/waft	.	SMD	kicad footprints (files=2: waft.kicad_pcb, waft_frontpanel.kicad_pcb): smd=34 tht_passive=4 tht_to=0 tht_ic=0 (panel excluded) smd_ic=2	Strong	19
backtail/6hp-psu	KiCad_Project	SMD	kicad footprints (files=1: usb-pd-15v-3a.kicad_pcb): smd=54 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
backtail/mHz-oscillator	KiCad_Project	SMD	kicad footprints (files=1: mHz_oscillator.kicad_pcb): smd=89 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=8	Strong	19
backtail/strg-m	KiCad_Project	SMD	kicad footprints (files=1: strg+m.kicad_pcb): smd=14 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=1	Strong	19
barnabywalters/Schraeg	Schraeg	SMD	kicad footprints (files=1: Schraeg.kicad_pcb): smd=90 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=5	Strong	19
BastianSPCTRL/COEUR	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
bastl-instruments/bastlSchematics	.	SMD	eagle packages (files=4: connector2.brd, hendrikson_1_1.brd, knitRider_T_1_4_redukce led.brd, knitRider_exp_1_1.brd): smd=211 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=22	Strong	19
bastl-instruments/citadel	.		1 .kicad_pcb fetched but held no footprints (LFS stub or empty board?): citadel-panel-template.brd (not XML or no elements, 49699 bytes)	Deferred	19
belllabsynth/Slew-Limiter	.	THT	kicad footprints (files=2: Slew Limiter Board.kicad_pcb, Slew Limiter Front Panel.kicad_pcb): smd=0 tht_passive=14 tht_to=0 tht_ic=1 (panel excluded) smd_ic=0	Strong	19
beLow-Industries/mod-mosfet	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
bmoren/attenuated-nearness	.	SMD	kicad footprints (files=2: nearness_att_panel.kicad_pcb, nearness.kicad_pcb): smd=36 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=2	Strong	19
breakfastelectroacoustics/basic-bipolar-input-eurorack-power-supply	.	THT	kicad footprints (files=1: basic-bipolar-input-eurorack-power-supply.kicad_pcb): smd=0 tht_passive=21 tht_to=3 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
breakfastelectroacoustics/basic-eurorack-power-supply	.	THT	kicad footprints (files=1: basic-eurorack-power-supply.kicad_pcb): smd=0 tht_passive=13 tht_to=3 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
butchwarns/Eurorack_Bus_Board	.	THT	kicad footprints (files=1: Bus_Board.kicad_pcb): smd=0 tht_passive=6 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
caseyjholmes/ADSR	.	SMD	kicad footprints (files=2: ADSR-Panel.kicad_pcb, ADSR.kicad_pcb): smd=35 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=2	Strong	19
caseyjholmes/ATMX	.		eagle packages (files=1: passive attenumixer.brd): smd=0 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Deferred	19
caseyjholmes/HMLFO	.	SMD	eagle packages (files=1: HMLFO.brd): smd=14 tht_passive=1 tht_to=0 tht_ic=0 (panel excluded) smd_ic=3	Strong	19
caseyjholmes/HMPLPGVCA	.	SMD	eagle packages (files=1: HMLPGVCA.brd): smd=3 tht_passive=2 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
caseyjholmes/MMPV3	.	SMD	eagle packages (files=1: PANS.brd): smd=44 tht_passive=5 tht_to=0 tht_ic=0 (panel excluded) smd_ic=3	Strong	19
cctvfm/cascadence	.	SMD	eagle packages (files=1: cascadence11.brd): smd=28 tht_passive=1 tht_to=0 tht_ic=0 (panel excluded) smd_ic=4	Strong	19
cctvfm/quadtec101	.	THT	eagle packages (files=1: neuztech-4.brd): smd=0 tht_passive=49 tht_to=1 tht_ic=5 (panel excluded) smd_ic=0	Strong	19
chairaudio/ILSE	.	THT	kicad footprints (files=3: frontpanel.kicad_pcb, ilse.kicad_pcb, ilseREV2.kicad_pcb): smd=0 tht_passive=49 tht_to=12 tht_ic=4 (panel excluded) smd_ic=0	Strong	19
charonme/heptaphasis	.	SMD	eagle packages (files=1: heptaphasis.brd): smd=96 tht_passive=5 tht_to=0 tht_ic=0 (panel excluded) smd_ic=13	Strong	19
cob333/Eurorack_PD_USB	.	SMD	BOM [no package named for 5 part(s)] (files=1: BOM_PD-USB_V5.xlsx): smd=19 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Stated	19
coredon17/Octofex	GIT	both	kicad footprints (files=1: FV1 V3.kicad_pcb): smd=85 tht_passive=10 tht_to=2 tht_ic=1 (panel excluded) smd_ic=6	Strong	19
crowselectromusic/HEAR	.	SMD	kicad footprints (files=2: HEAR.kicad_pcb, _autosave-nearness.kicad_pcb): smd=82 tht_passive=2 tht_to=0 tht_ic=0 (panel excluded) smd_ic=4	Strong	19
cslammy/CP3	.	THT	BOM (files=1: BOM.txt): smd=0 tht_passive=0 tht_to=5 tht_ic=0 (panel excluded) smd_ic=0	Stated	19
ctag-fh-kiel/ctag-straempler	hardware/antumbra	SMD	eagle packages (files=2: strampler_panel_v2_2.brd, Strampler_redesign_v2_2.brd): smd=141 tht_passive=2 tht_to=0 tht_ic=0 (panel excluded) smd_ic=13	Strong	19
DatanoiseTV/USB-C-Eurorack-PSU	.	SMD	easyeda pcb json [unclassified: DFN-8_L3.0-W3.0-P0.65-BLx1 DO-214AC_L4.3-W2.7-LS5.3-RDx3 WPAD-1-PTH-POGOx1] (files=1: 1-PCB_padfix.json): smd=38 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
dchwebb/Ampelope	.	SMD	kicad footprints (files=4: Ampelope_Adapter.kicad_pcb, Ampelope_Components.kicad_pcb, Ampelope_Controls.kicad_pcb, Ampelope_Panel.kicad_pcb): smd=105 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=5	Strong	19
DenBelmans/Eurorack-Dual-VCA	.	THT	kicad footprints (files=3: VCAbottom.kicad_pcb, VCApanel.kicad_pcb, VCAtop.kicad_pcb): smd=0 tht_passive=46 tht_to=2 tht_ic=3 (panel excluded) smd_ic=0	Strong	19
DIYSynthMNL/Eurorack-PT2399-Delay	.		1 .kicad_pcb fetched but held no footprints (LFS stub or empty board?): Eurorack-PT2399-Delay.kicad_pcb (51 bytes)	Deferred	19
drahosj/VCO-1	.	both	kicad footprints (files=1: VCO-1.kicad_pcb): smd=43 tht_passive=8 tht_to=0 tht_ic=0 (panel excluded) smd_ic=5	Strong	19
DrJ3RK/DrJ3RK	.		BOM (files=1: BOMs/BOMs.txt): smd=0 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Deferred	19
L71/small_projects	.	both	eagle packages (files=12: 4xjacks_breakout.brd, CS4354_breakout.brd, Euro5VDCDC.brd, Eurorack_breadboard_PSU_ad.brd, Eurorack_current_measure_PCB.brd, Eurorack_mini_psu.brd, Eurorack_passive_dist.brd, PassiveLPG.brd, TL2285_labpcb.brd, tact_sw_breakout.brd, touchpad_brk.brd, usb_dcdc_12v_power.brd): smd=13 tht_passive=76 tht_to=1 tht_ic=1 (panel excluded) smd_ic=1	Strong	19
L71/VCLFO	.	both	eagle packages (files=2: VCLFO_th.brd, VCLFO_th_2.brd): smd=1 tht_passive=55 tht_to=2 tht_ic=5 (panel excluded) smd_ic=0	Strong	19
lipsumar/just-between-us	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
LjungrennAudio/ryomodular-com-2xvcx	.		BOM [no package named for 70 part(s)] (files=1: docs/RYO 2xVCX BOM v01temp.ods): smd=0 tht_passive=0 tht_to=0 tht_ic=10 (panel excluded) smd_ic=0	Weak	19
LjungrennAudio/ryomodular-com-xnor-not	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
loglow/uBraids_SE	.	SMD	eagle packages (files=4: uBraids_SE_Assembly_Template.brd, uBraids_SE_Display_Module.brd, uBraids_SE_Front_Panel.brd, uBraids_SE_Main_Board.brd): smd=111 tht_passive=4 tht_to=0 tht_ic=0 (panel excluded) smd_ic=14	Strong	19
loglow/uClouds_SE	.	both	eagle packages (files=5: uClouds_SE_Assembly_Template.brd, uClouds_SE_Button_Shim.brd, uClouds_SE_Control_Board.brd, uClouds_SE_Front_Panel.brd, uClouds_SE_Main_Board.brd): smd=125 tht_passive=14 tht_to=0 tht_ic=0 (panel excluded) smd_ic=9	Strong	19
loglow/uo_C_SE	.	SMD	eagle packages (files=4: uo_C_SE_Assembly_Template.brd, uo_C_SE_Display_Module.brd, uo_C_SE_Front_Panel.brd, uo_C_SE_Main_Board.brd): smd=104 tht_passive=3 tht_to=0 tht_ic=0 (panel excluded) smd_ic=9	Strong	19
loglow/uPlaits_SE	.	both	eagle packages (files=4: uPlaits_SE_Assembly_Template.brd, uPlaits_SE_Control_Board.brd, uPlaits_SE_Front_Panel.brd, uPlaits_SE_Main_Board.brd): smd=122 tht_passive=16 tht_to=0 tht_ic=0 (panel excluded) smd_ic=7	Strong	19
loglow/uRings_SE	.	SMD	eagle packages (files=4: uRings_SE_Assembly_Template.brd, uRings_SE_Control_Board.brd, uRings_SE_Front_Panel.brd, uRings_SE_Main_Board.brd): smd=114 tht_passive=5 tht_to=0 tht_ic=0 (panel excluded) smd_ic=9	Strong	19
lonesoulsurfer/Delay_Modular_Synth	Front Panel Design/Kicad - Ekoplasm Arduino 2/Ekoplasm		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
m0xpd/STRACHEY	.	THT	kicad footprints (files=2: control board.kicad_pcb, main board.kicad_pcb): smd=0 tht_passive=0 tht_to=0 tht_ic=2 (panel excluded) smd_ic=0	Strong	19
M4ngu/Sweet-Sixteen	.	both	eagle packages (files=1: sweet sixteen v24_3.brd): smd=127 tht_passive=4 tht_to=0 tht_ic=1 (panel excluded) smd_ic=9	Strong	19
martinheterjag/v8_engine	.	both	eagle packages (files=1: v8_engine.brd): smd=3 tht_passive=70 tht_to=0 tht_ic=3 (panel excluded) smd_ic=3	Strong	19
mattb/teensy-cv	.	THT	eagle packages (files=1: teensy-cv.brd): smd=0 tht_passive=31 tht_to=1 tht_ic=1 (panel excluded) smd_ic=0	Strong	19
mesotokyo/cheap-power-board	.	SMD	kicad footprints (files=1: PowerBoard.kicad_pcb): smd=14 tht_passive=5 tht_to=1 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
MichiganSynthWorks/Euro-Modules	2HP2CV	SMD	eagle packages (files=1: 2HP2CV.brd): smd=23 tht_passive=2 tht_to=0 tht_ic=0 (panel excluded) smd_ic=1	Strong	19
microresearch/ERD	.		10 .kicad_pcb fetched but held no footprints (LFS stub or empty board?): ERDERD.brd (not XML or no elements, 81238 bytes), ERDSIR.brd (not XML or no elements, 137660 bytes), ERD_reviseforextrajacks_vampire.brd (not XML or no elements, 29108 bytes), ERD_reviseforextrajacks_vampire002.brd (not XML or no elements, 40203 bytes), erdsir_panel.brd (not XML or no elements, 265080 bytes), vampire.brd (not XML or no elements, 518595 bytes), vampire_board.brd (not XML or no elements, 40758 bytes), vampire_board_001.brd (not XML or no elements, 78708 bytes), vampire_panel.brd (not XML or no elements, 269508 bytes), vampire_panel_for_svg.brd (not XML or no elements, 8255 bytes)	Deferred	19
microresearch/gamma	.		3 .kicad_pcb fetched but held no footprints (LFS stub or empty board?): gamma001.brd (not XML or no elements, 228896 bytes), gamma001_revised.brd (not XML or no elements, 228194 bytes), gamma_draft_panel.brd (not XML or no elements, 259993 bytes)	Deferred	19
MidiverseModular/MVM006_LFO	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
MidiverseModular/MVM025_DiodeFilter	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
