creator,Module Name,Type of Module,License,schematic?,layout,components,link,notes
Quinienl,Multiple,multiple (passive),,x,kicad,,https://github.com/Quinienl/Basic-Modules/tree/main/Multiple,
Quinienl,Multiple Buffered,buffered multiple,,x,kicad,THT,https://github.com/Quinienl/Basic-Modules/tree/main/MultipleBuffered,
Quinienl,Switch,switch (passive),,x,kicad,,https://github.com/Quinienl/Basic-Modules/tree/main/Switch,
Quinienl,LittleBen,master clock,,x,kicad + gerbers,THT,https://github.com/Quinienl/LittleBen,
Shayshez,EuroScope MKII,oscilloscope (DSO150 conversion),,x,eagle + gerbers,SMD,https://github.com/Shayshez/EuroScope,See expander: Expander For EuroScope
Shayshez,Expander For EuroScope,"expander (EuroScope, buffered inputs)",,x,eagle + gerbers,SMD,https://github.com/Shayshez/EuroScope/tree/master/Expander,expander for EuroScope MKII
StudioKAT,Dual Timbre,"VCA (dual, lin-exp curve)",CC BY-SA 4.0,https://github.com/StudioKAT/DualTimbre/blob/main/v1.1/Schematics/Dual_Timbre_schematics_v1.1.pdf,kicad + gerbers,SMD,https://github.com/StudioKAT/DualTimbre/tree/main/v1.1,
StudioKAT,R2R DAC,"DAC (5-bit R2R, gates to stepped CV)",CC BY-SA 4.0,https://github.com/StudioKAT/R2R-DAC/blob/main/v2.0/Schematics/R2R%20DAC_schematics_v2.0.pdf,kicad + gerbers,SMD,https://github.com/StudioKAT/R2R-DAC/tree/main/v2.0,
Mutable Instruments + StudioKAT,Toolbox,utility (attenuverter / mult / rectifier),CC BY-SA 4.0,https://github.com/StudioKAT/Toolbox/blob/main/v2.1/Schematics/Toolbox_schematics_v2.1.pdf,kicad + gerbers,SMD,https://github.com/StudioKAT/Toolbox/tree/main/v2.1,
Music Thing Modular,Turing Machine Mk 2,random looping sequencer (Turing Machine),CC BY-SA 3.0,https://github.com/TomWhitwell/TuringMachine/blob/master/Collateral/PDF%20Schematics/TuringMachine2_Schematic_May2016.pdf,eagle + gerbers,THT,https://github.com/TomWhitwell/TuringMachine,
Voltage Foundry Modular,IRONMix,mixer (stereo line) / headphone out,MIT,x,kicad + gerbers,SMD,https://github.com/VoltageFoundryMod/IRONMix/tree/main/V1,
attowatt,i2c2midi,Teletype expander (I2C to MIDI),,https://github.com/attowatt/i2c2midi/blob/main/hardware/hardware-MK2/i2c2midi_schematic.png,eagle + gerbers,both,https://github.com/attowatt/i2c2midi/tree/main/hardware/hardware-MK2,
b:art instruments,Matrix Mixer,matrix mixer,,x,,,https://github.com/bartinstruments/open-source/tree/main/MATRIX%20MIXER,
benjiaomodular,MiniSNH,S&H (analog) / random gates,MIT,x,kicad,SMD,https://github.com/benjiaomodular/MiniSNH/tree/main/MiniSNH%20v1.1,
bmoren,Passive Stereo Output 2hp,"output (passive stereo, 2HP)",CC BY-SA 4.0,x,kicad + gerbers,,https://github.com/bmoren/Stereo-Output-2hp/tree/master/passive_stereo_output_rev1,companion for nearness (https://github.com/sarnesjo/nearness)
bmoren,two tone,"LPG / LPF (dual passive, vactrol)",CC BY-SA 4.0,x,kicad + gerbers,THT,https://github.com/bmoren/two-tone/tree/master/rev1_PCB,inspired by Look Mum No Computer and Meng Qi
bpcmusic,TELEXi,Teletype expander (inputs),CC BY-SA 4.0,https://github.com/bpcmusic/telex/blob/master/hardware/TELEXi/board/Telex-I%20Schematic.pdf,eagle + gerbers,both,https://github.com/bpcmusic/telex/tree/master/hardware/TELEXi,See also: TELEXo
bpcmusic,TELEXo,Teletype expander (outputs),CC BY-SA 4.0,https://github.com/bpcmusic/telex/blob/master/hardware/TELEXo/board/Telex-O%20Schematic.pdf,eagle + gerbers,both,https://github.com/bpcmusic/telex/tree/master/hardware/TELEXo,See also: TELEXi
CTAG,CTAG TBD,sound module (ESP32 DSP platform),,https://github.com/ctag-fh-kiel/ctag-tbd/blob/master/hw/pcb/Schematics-pdf/ESP32-Eurorack-Audio.pdf,kicad + gerbers,SMD,https://github.com/ctag-fh-kiel/ctag-tbd,
dchwebb,Dis Phaze,"oscillator (dual phase distortion, CZ-style)",Apache 2.0,https://github.com/dchwebb/DisPhaze/blob/master/Hardware_v3.5/Schematic.pdf,kicad + gerbers,SMD,https://github.com/dchwebb/DisPhaze,
