creator,Module Name,Type of Module,License,schematic?,layout,components,link,notes
Niklas Rohnnberg + Holmes Modular,HMLFO,"LFO (analog, 2HP)",,x,eagle + gerbers,SMD,https://github.com/caseyjholmes/HMLFO,
Holmes Modular,HMPLPGVCA,LPG / VCA (passive vactrol),GPL v3,x,eagle + gerbers,SMD,https://github.com/caseyjholmes/HMPLPGVCA,
Holmes Modular,MMPV3,"mixer (5-ch, mute / pan, stereo)",,x,eagle + gerbers,SMD,https://github.com/caseyjholmes/MMPV3,
cctvfm,Cascadence,Arduino platform (programmable),,https://github.com/cctvfm/cascadence/blob/master/hardware/Cascadence-Schematic.pdf,eagle + gerbers,SMD,https://github.com/cctvfm/cascadence,
cctvfm,quadtec 101,"oscillator (quad, panning)",,https://github.com/cctvfm/quadtec101/blob/master/PCB/schematic.pdf,eagle + gerbers,THT,https://github.com/cctvfm/quadtec101,
Syntherjack + chairaudio,ILSE,"synth voice (analog, monophonic)","custom (open source, no commercial copies)",x,kicad + gerbers,THT,https://github.com/chairaudio/ILSE,
YuSynth + charonme,heptaphasis,LFO (7-phase quadrature sine),,https://github.com/charonme/heptaphasis/blob/master/circuit_core.png,eagle + gerbers,SMD,https://github.com/charonme/heptaphasis,
cob333,Eurorack PD USB Power Supply,power supply (USB-C PD),MIT,https://github.com/cob333/Eurorack_PD_USB/blob/main/SCH_PD-USB_V5.pdf,gerbers,SMD,https://github.com/cob333/Eurorack_PD_USB,inspired by Powerline
Benjamin Bonnal + coredon17,Octofex,FV-1 multi-effect,,x,kicad + gerbers,both,https://github.com/coredon17/Octofex/tree/main/GIT,
ramphands + crowselectromusic,HEAR,"output mixer (4-ch, line / headphone)",CC BY-SA 4.0,https://github.com/crowselectromusic/HEAR/blob/main/HEAR-schematic.pdf,kicad + gerbers,SMD,https://github.com/crowselectromusic/HEAR,"derived from Exits, which combines Nearness and a headphone stage"
CTAG + Antumbra,Strämpler (Antumbra hardware),sample streamer / digital synth,CC BY-NC-SA 4.0 (hardware),x,eagle,SMD,https://github.com/ctag-fh-kiel/ctag-straempler/tree/master/hardware/antumbra,
dchwebb,Ampelope,envelope / VCA,,x,kicad + gerbers,SMD,https://github.com/dchwebb/Ampelope,
Thomas Henry + drahosj,VCO-1,VCO,,x,kicad,both,https://github.com/drahosj/VCO-1,
AionFX + fablabnk,EuroTubeScreamer,overdrive (Tube Screamer style),,x,kicad,,https://github.com/fablabnk/EuroTubeScreamer/tree/main/EuroTubeScreamer,
ramphands + fablabnk,HeadPho,headphone amp,,x,kicad + gerbers,THT,https://github.com/fablabnk/HeadPho,
fancyyyyy,kid,VCO (triangle-core),,x,eagle,SMD,https://github.com/fancyyyyy/kid,
Roland + gerb-ster,Vulcan DCO,DCO (Juno-106 core),,https://github.com/gerb-ster/Vulcan-DCO/blob/main/schematics/Vulcan-DCO-ioboard.pdf,eagle + gerbers,THT,https://github.com/gerb-ster/Vulcan-DCO,
ishkabbible,TAM v3,attenuverter / mixer (triple),CC BY-SA,https://github.com/ishkabbible/TAM_V3/blob/master/PCB/active_3attMix_v3_schematic.pdf,kicad + gerbers,SMD,https://github.com/ishkabbible/TAM_V3,
jacobbarssbailey,Active Multiples,buffered multiple (dual 1-to-3),MIT,https://github.com/jacobbarssbailey/active-multiples/blob/master/hardware/active-multiples.sch.pdf,eagle,SMD,https://github.com/jacobbarssbailey/active-multiples,
Neutron Sound,Dust of Time,"oscillator (dual stereo, digital)","not open source (board files, firmware - per README)",https://github.com/jakplugg/Neutron-Sound-Dust-of-Time/blob/master/schematic.pdf,,,https://github.com/jakplugg/Neutron-Sound-Dust-of-Time,
jeanpri,303 interface,TB-303 voice interface (x0x-heart),,x,kicad + gerbers,SMD,https://github.com/jeanpri/303,
jortigoso,output_1,"output module (stereo, headphone)",,,gerbers,,https://github.com/jortigoso/output_1,
josbouten,Fold-O-Matic,wave folder,,https://github.com/josbouten/Fold-O-Matic/blob/master/Fold-O-Matic_schematic_v0.6.png,,,https://github.com/josbouten/Fold-O-Matic,after Dan A's wavefolder publication
josbouten,Ratchet-O-Matic,clock multiplier / divider (ratchet),,https://github.com/josbouten/Ratchet-O-Matic/blob/main/schematics/Schematic_Ratchet-O-Matic-single-IO-board-v0.2.png,gerbers,,https://github.com/josbouten/Ratchet-O-Matic,
Ken Stone + josbouten,Stomp-Box-Adapt-O-Matic,effects pedal interface,,https://github.com/josbouten/Stomp-Box-Adapt-O-Matic/blob/main/schematic/Schematic_Stomp-Box-Adapt-O-Matic_CGS60_main%20circuit%20V0.2_tested_working.png,gerbers,,https://github.com/josbouten/Stomp-Box-Adapt-O-Matic,
Rene Schmitz + kraakenstuff,ADSR,ADSR (2HP),,x,kicad + gerbers,SMD,https://github.com/kraakenstuff/ADSR,
kraakenstuff,PSU,power supply (linear),,x,kicad + gerbers,THT,https://github.com/kraakenstuff/PSU,
kraakenstuff,PSU-1.5A,power supply + bus board,MIT,x,kicad + gerbers,THT,https://github.com/kraakenstuff/PSU-1.5A,
Bastl Instruments + kraakenstuff,Skis (SMD),attenuator / offset (sliders),,x,kicad + gerbers,SMD,https://github.com/kraakenstuff/Skis,
Mutable Instruments + kstammits,Shady,attenuverter / mixer (triple),GPL v3,x,kicad,THT,https://github.com/kstammits/Shady,
Rob Hordijk + kweiwen,Benjolin,Benjolin (chaotic oscillators / filter / rungler),,https://github.com/kweiwen/benjolin/blob/master/schematic/pcb_b.pdf,,,https://github.com/kweiwen/benjolin,
lipsumar,Just Between Us,clock generator,,https://github.com/lipsumar/just-between-us/blob/master/docs/schematic.pdf,,,https://github.com/lipsumar/just-between-us,
Mutable Instruments + loglow,µBraids SE,macro oscillator (digital),CC BY-SA 4.0,x,eagle,SMD,https://github.com/loglow/uBraids_SE,
Mutable Instruments + loglow,µClouds SE,granular processor,CC BY-SA 4.0,x,eagle,both,https://github.com/loglow/uClouds_SE,
Mutable Instruments + loglow,µPlaits SE,macro oscillator,CC BY-SA 4.0,x,eagle,both,https://github.com/loglow/uPlaits_SE,
Mutable Instruments + loglow,µRings SE,resonator (physical modelling),CC BY-SA 4.0,https://github.com/loglow/uRings_SE/blob/master/uRings_SE_Control_Board_Schematic.pdf,eagle,SMD,https://github.com/loglow/uRings_SE,
Ornament & Crime + loglow,µo_C SE,multi-function CV utility (quantizer / sequencer / envelopes),CC BY-NC-SA 4.0,x,eagle,SMD,https://github.com/loglow/uo_C_SE,
m0xpd,STRACHEY,sequencer (random looping),CC BY-SA 4.0,https://github.com/m0xpd/STRACHEY/blob/main/Hardware/Control/control%20board%20schematic.pdf,kicad,THT,https://github.com/m0xpd/STRACHEY,inspired by Music Thing Modular Turing Machine
Ken Stone + martinheterjag,V8 Engine,engine sound simulator (CGS08),,x,eagle,both,https://github.com/martinheterjag/v8_engine,
mattb,teensy-cv,CV interface (Teensy scaling),,https://github.com/mattb/teensy-cv/blob/master/teensy-cv-schematic.png,eagle,THT,https://github.com/mattb/teensy-cv,
mesotokyo,Cheap Power Board,power supply / bus board,CC BY 4.0,https://github.com/mesotokyo/cheap-power-board/blob/master/figs/schematic.png,kicad,SMD,https://github.com/mesotokyo/cheap-power-board,
microresearch,gamma,random voltage source,,x,kicad,,https://github.com/microresearch/gamma,
SYSTEM80,JOVE,"VCF (multimode, Jupiter-6 style)",CC BY-NC-SA 4.0,x,kicad + gerbers,SMD,https://github.com/minisystem/JOVE,
minisystem,VXO-PSU,power supply / bus board,,x,kicad + gerbers,SMD,https://github.com/minisystem/VXO-PSU,
moPsy-project,DIV,clock divider / counter,CC BY-SA 4.0,x,kicad,both,https://github.com/moPsy-project/div,
mohoyt,AS3340 VCO,VCO (AS3340),,https://github.com/mohoyt/as3340_vco/blob/main/img/schematic.png,kicad + gerbers,THT,https://github.com/mohoyt/as3340_vco,
monome,Teletype,scriptable CV / trigger processor,CC BY-SA 3.0,https://github.com/monome/teletype-hardware/blob/main/teletype-schem.pdf,eagle,SMD,https://github.com/monome/teletype-hardware,
mxmxmx,3HP dual OA,offset / attenuator (dual),,https://github.com/mxmxmx/3HP_dual_OA/blob/master/2xOA_schematic.pdf,gerbers,SMD,https://github.com/mxmxmx/3HP_dual_OA,
mxmxmx,CV2Midi,CV to MIDI (5-ch),,,,SMD,https://github.com/mxmxmx/CV2Midi,
mxmxmx,terminal tedium,Raspberry Pi audio / CV interface (Pd),,x,fritzing + gerbers,SMD,https://github.com/mxmxmx/terminal_tedium,
mysticcircuits,ANA2,analog logic,CC BY-SA 4.0,https://github.com/mysticcircuits/ANA2/blob/main/ANA2%20Open%20Hardware%20-%20SCHEMATIC%20-%20CC.by.SA%204.0%20licence%20-%20REV%20010825.pdf,diptrace,,https://github.com/mysticcircuits/ANA2,
mysticcircuits,TREE,sequential switch,CC BY-SA 4.0,x,diptrace,,https://github.com/mysticcircuits/TREE,
mzourack,QUAAD,sequencer (quad 4-step CV),CC BY 4.0,x,kicad + gerbers,SMD,https://github.com/mzourack/QUAAD,
oamodular,Time Machine,multi-tap delay,CC BY-NC-SA 4.0,https://github.com/oamodular/time-machine/blob/main/OAM%20Time%20Machine%20Schematic.pdf,,,https://github.com/oamodular/time-machine,
Rebel Technology,Logoi (Clock Delay),clock divider / counter / delay,GPL v2,https://github.com/pingdynasty/ClockDelay/blob/master/ClockDelaySchematic.png,,,https://github.com/pingdynasty/ClockDelay,
Rebel Technology,Tonic,sequencer (additive interval),GPL v2,https://github.com/pingdynasty/Tonic/blob/master/hardware/TonicRev03-schematic.pdf,,,https://github.com/pingdynasty/Tonic,
HAGIWO + poetaster,HAGIWO 019/022/023 Triple Oscillator,"oscillator (FM / chord / additive, Arduino)",MIT,https://github.com/poetaster/HAGIWO_arduino_oscillator/blob/main/schematic.pdf,kicad + gerbers,THT,https://github.com/poetaster/HAGIWO_arduino_oscillator,inspired by luis lutz version (https://github.com/luislutz/Arduino-VDCO)
poetaster,Candelabra,chaos CV generator,GPL v3,https://github.com/poetaster/candelabra/blob/main/candelabra_schem.jpg,fritzing + gerbers,,https://github.com/poetaster/candelabra,
poetaster,Portcullis,"VCA (dual, vactrol) / AR envelope",GPL v3,https://github.com/poetaster/portcullis/blob/main/portcullis_schem.jpg,fritzing + gerbers,,https://github.com/poetaster/portcullis,
Polykit,Eurorack Power Supply,power supply (AC input),,x,kicad + gerbers,THT,https://github.com/polykit/eurorack-psu,
Polykit,Raspberry Pi Pico Polyphonic DCO,"DCO (polyphonic, Pico)",,x,kicad + gerbers,both,https://github.com/polykit/pico-dco,
Roland + Polykit,Polykit VCO-1,"VCO (Jupiter-8 style, with sub-osc)",,x,eagle + gerbers,both,https://github.com/polykit/vco-1,
ramphands,Exits,output module (line / headphone),CC BY-SA 4.0,https://github.com/ramphands/Exits/blob/main/exits%20schematic.pdf,kicad + gerbers,SMD,https://github.com/ramphands/Exits,based on Nearness (https://github.com/sarnesjo/nearness) and the Forestcaver headphone amp
ramphands,Linear Power Board,"power supply (linear, from two SMPS)",,https://github.com/ramphands/LinearPowerBoard/blob/master/linearpowerboard%20schematic.pdf,gerbers,,https://github.com/ramphands/LinearPowerBoard,
